Character, Abs. Freq., Rel. Freq.
大,2,111111
師,4,222222
發,2,111111
上,2,111111
約,2,111111
期,2,111111
王,8,444444
宗,2,111111
赫,2,111111
高,2,111111
旅,2,111111
食,4,222222
城,2,111111
案,2,111111
化,2,111111
禱,2,111111
天,2,111111
合,2,111111
士,2,111111
牧,2,111111
克,2,111111
氏,2,111111
烈,2,111111
分,2,111111
用,2,111111
疆,2,111111
尹,2,111111
饗,2,111111
商,4,222222
寧,2,111111
滅,2,111111
公,2,111111
無,4,222222
海,2,111111
惟,2,111111
作,2,111111
定,2,111111
八,4,222222
言,2,111111
績,2,111111
配,2,111111
神,2,111111
永,2,111111
咸,4,222222
方,2,111111
赦,2,111111
庶,4,222222
地,2,111111
奮,2,111111
