Character, Abs. Freq., Rel. Freq.
應,2,8326
好,2,8326
姓,2,8326
合,4,16653
外,6,24979
請,2,8326
親,2,8326
墳,2,8326
困,8,33306
厚,2,8326
荒,2,8326
藏,2,8326
果,2,8326
從,2,8326
周,2,8326
顧,6,24979
善,2,8326
逆,2,8326
大,16,66611
伐,18,74938
族,2,8326
爭,4,16653
廟,4,16653
廢,6,24979
動,18,74938
國,32,133222
政,4,16653
人,4,16653
悔,4,16653
居,2,8326
重,2,8326
敵,4,16653
脩,2,8326
公,2,8326
祥,4,16653
古,2,8326
道,8,33306
讓,2,8326
服,16,66611
師,2,8326
卑,4,16653
畏,6,24979
凶,2,8326
測,2,8326
和,4,16653
拂,2,8326
易,4,16653
屈,2,8326
致,4,16653
恐,2,8326
量,2,8326
僻,2,8326
昏,2,8326
知,10,41632
革,2,8326
殘,2,8326
乘,2,8326
失,22,91590
飾,2,8326
車,2,8326
疑,6,24979
作,4,16653
絕,2,8326
克,10,41632
無,36,149875
慮,2,8326
利,10,41632
恃,4,16653
告,4,16653
教,2,8326
待,4,16653
奪,4,16653
智,2,8326
施,8,33306
備,10,41632
久,4,16653
序,2,8326
民,10,41632
苦,2,8326
達,2,8326
弱,4,16653
交,8,33306
并,8,33306
幹,4,16653
枉,2,8326
擠,2,8326
義,4,16653
勢,2,8326
虞,2,8326
成,18,74938
天,4,16653
物,2,8326
散,2,8326
君,8,33306
移,2,8326
侔,2,8326
求,10,41632
願,2,8326
本,8,33306
咎,2,8326
愛,2,8326
小,6,24979
近,4,16653
武,8,33306
樞,4,16653
體,12,49958
疆,4,16653
循,6,24979
疏,2,8326
行,6,24979
法,6,24979
德,8,33306
墓,2,8326
繩,2,8326
欲,4,16653
迎,2,8326
謀,10,41632
計,4,16653
約,4,16653
辭,4,16653
稷,4,16653
摩,2,8326
順,6,24979
毀,8,33306
費,8,33306
力,4,16653
當,2,8326
位,2,8326
倫,6,24979
援,2,8326
殃,2,8326
復,8,33306
禮,10,41632
立,8,33306
幾,8,33306
社,4,16653
家,8,33306
虛,2,8326
害,6,24979
臣,2,8326
今,2,8326
威,2,8326
直,4,16653
敬,4,16653
免,2,8326
鄰,8,33306
亡,16,66611
來,2,8326
門,2,8326
陰,2,8326
定,2,8326
封,4,16653
亂,2,8326
舉,4,16653
宗,6,24979
勞,4,16653
長,2,8326
時,22,91590
危,6,24979
鬼,2,8326
殺,2,8326
流,2,8326
仁,4,16653
文,6,24979
守,12,49958
吉,2,8326
扶,6,24979
神,2,8326
慎,2,8326
說,2,8326
遷,2,8326
災,2,8326
上,4,16653
□,22,91590
傾,2,8326
振,6,24979
難,16,66611
色,6,24979
地,6,24979
財,2,8326
辱,2,8326
功,12,49958
妄,2,8326
山,2,8326
權,16,66611
靜,4,16653
捷,4,16653
離,4,16653
臨,2,8326
數,2,8326
阻,2,8326
固,2,8326
侵,6,24979
策,2,8326
衰,6,24979
同,2,8326
削,2,8326
閉,2,8326
喪,2,8326
巧,4,16653
閒,6,24979
幣,4,16653
川,2,8326
養,4,16653
暴,4,16653
薄,4,16653
聽,2,8326
建,2,8326
延,2,8326
患,4,16653
急,2,8326
勇,2,8326
推,2,8326
正,2,8326
淩,4,16653
據,6,24979
戰,6,24979
百,2,8326
險,6,24979
內,4,16653
事,34,141549
質,6,24979
令,4,16653
度,6,24979
帛,2,8326
死,2,8326
形,2,8326
甲,2,8326
肆,2,8326
名,4,16653
為,10,41632
枝,2,8326
言,4,16653
資,2,8326
祿,2,8326
土,4,16653
命,2,8326
虧,2,8326
往,2,8326
畜,2,8326
