Character, Abs. Freq., Rel. Freq.
老,2,18182
程,2,18182
危,2,18182
脩,2,18182
圖,2,18182
度,6,54545
當,2,18182
盡,2,18182
林,2,18182
省,6,54545
近,2,18182
怒,2,18182
居,2,18182
違,2,18182
溝,2,18182
大,4,36364
□,4,36364
痛,2,18182
順,8,72727
地,6,54545
賦,2,18182
勸,2,18182
魚,2,18182
鳥,2,18182
安,4,36364
懷,2,18182
人,4,36364
寡,2,18182
舉,2,18182
施,2,18182
守,4,36364
侯,4,36364
死,2,18182
助,2,18182
生,4,36364
舟,2,18182
翼,2,18182
敬,4,36364
亡,2,18182
躬,4,36364
讒,2,18182
勝,2,18182
嚴,2,18182
民,6,54545
恕,4,36364
財,2,18182
工,8,72727
文,6,54545
競,2,18182
奉,2,18182
終,2,18182
患,4,36364
陂,2,18182
上,10,90909
宗,2,18182
差,2,18182
材,2,18182
作,6,54545
長,2,18182
濫,2,18182
等,2,18182
務,8,72727
牛,2,18182
援,2,18182
愛,4,36364
月,2,18182
巧,2,18182
羊,2,18182
族,6,54545
別,2,18182
失,2,18182
事,4,36364
忍,2,18182
：,2,18182
無,24,218182
合,2,18182
選,6,54545
比,6,54545
義,2,18182
商,10,90909
立,4,36364
攻,2,18182
利,4,36364
魄,2,18182
習,2,18182
百,2,18182
厚,2,18182
備,14,127273
高,2,18182
明,8,72727
給,2,18182
開,2,18182
政,6,54545
鄉,2,18182
列,2,18182
格,2,18182
命,2,18182
善,2,18182
余,2,18182
菑,2,18182
鱉,2,18182
用,14,127273
勤,2,18182
土,4,36364
教,2,18182
中,2,18182
依,2,18182
娛,2,18182
愚,2,18182
物,6,54545
州,2,18182
醜,2,18182
和,4,36364
拔,2,18182
震,2,18182
美,4,36364
屠,2,18182
通,4,36364
農,4,36364
往,2,18182
遠,6,54545
小,4,36364
讓,4,36364
逆,2,18182
設,2,18182
惠,2,18182
攜,2,18182
車,2,18182
體,2,18182
思,20,181818
德,12,109091
爭,4,36364
山,2,18182
智,2,18182
入,2,18182
王,8,72727
行,8,72727
士,4,36364
成,2,18182
應,2,18182
天,2,18182
火,2,18182
官,4,36364
協,4,36364
固,2,18182
害,4,36364
實,2,18182
宜,4,36364
為,8,72727
輕,2,18182
齒,2,18182
極,2,18182
頑,6,54545
疆,2,18182
慎,22,200000
戒,2,18182
幼,2,18182
多,4,36364
親,2,18182
忠,2,18182
維,2,18182
意,2,18182
制,4,36364
伐,2,18182
武,2,18182
獸,2,18182
津,2,18182
毛,2,18182
諸,4,36364
訓,2,18182
藪,2,18182
伍,2,18182
穡,2,18182
時,4,36364
候,2,18182
雜,2,18182
治,2,18182
趣,2,18182
知,2,18182
邇,4,36364
誡,6,54545
力,4,36364
貸,2,18182
典,2,18182
惡,2,18182
寇,2,18182
川,2,18182
