Character, Abs. Freq., Rel. Freq.
轉,4,15221
敗,6,22831
上,4,15221
孰,10,38052
橐,2,7610
使,2,7610
多,16,60883
守,8,30441
少,2,7610
慮,2,7610
好,4,15221
天,38,144597
虛,4,15221
露,2,7610
彌,2,7610
室,2,7610
物,20,76104
川,2,7610
心,2,7610
兆,2,7610
固,2,7610
輸,2,7610
聖,14,53272
云,4,15221
制,2,7610
小,4,15221
盜,4,15221
定,2,7610
伐,2,7610
將,16,60883
蛇,2,7610
畜,2,7610
甘,2,7610
萬,12,45662
安,2,7610
大,20,76104
細,2,7610
進,2,7610
善,8,30441
猶,6,22831
偽,2,7610
身,8,30441
生,12,45662
幾,2,7610
樸,10,38052
呈,2,7610
音,2,7610
邦,4,15221
隨,2,7610
脆,2,7610
名,14,53272
疏,2,7610
浧,6,22831
立,2,7610
常,2,7610
難,10,38052
侯,4,15221
自,22,83714
教,6,22831
冬,2,7610
令,4,15221
藏,2,7610
搏,2,7610
寥,2,7610
涉,2,7610
保,6,22831
揣,2,7610
絕,6,22831
域,2,7610
為,42,159817
廣,2,7610
紀,2,7610
病,2,7610
地,14,53272
亥,2,7610
私,2,7610
愈,2,7610
人,20,76104
猛,2,7610
章,2,7610
判,2,7610
辯,2,7610
屈,2,7610
辱,2,7610
達,2,7610
中,2,7610
銳,4,15221
忿,2,7610
民,30,114155
畏,2,7610
短,2,7610
海,4,15221
賊,4,15221
屯,2,7610
棄,6,22831
終,6,22831
用,4,15221
滋,6,22831
牡,2,7610
沌,2,7610
壯,2,7610
遺,2,7610
執,4,15221
祥,2,7610
昏,2,7610
寡,2,7610
惡,2,7610
智,4,15221
根,2,7610
怒,2,7610
渙,2,7610
禍,2,7610
攫,2,7610
柔,2,7610
徐,4,15221
形,2,7610
富,2,7610
叛,2,7610
釋,2,7610
均,2,7610
矜,2,7610
言,12,45662
愛,2,7610
玄,4,15221
玉,2,7610
賓,2,7610
易,12,45662
獸,2,7610
清,4,15221
僉,2,7610
臺,2,7610
亡,42,159817
道,28,106545
字,2,7610
門,2,7610
江,4,15221
美,4,15221
螫,2,7610
士,2,7610
亂,2,7610
貴,8,30441
沖,4,15221
獨,2,7610
臨,2,7610
恒,8,30441
久,2,7610
居,10,38052
遂,2,7610
金,2,7610
百,8,30441
客,2,7610
作,8,30441
巧,2,7610
起,2,7610
復,8,30441
聲,2,7610
成,8,30441
害,4,15221
塵,2,7610
臣,2,7610
猷,2,7610
果,10,38052
老,2,7610
動,2,7610
親,4,15221
驕,4,15221
返,4,15221
諱,2,7610
殆,4,15221
益,2,7610
日,2,7610
季,2,7610
賤,2,7610
；,24,91324
爭,4,15221
前,4,15221
捉,2,7610
塞,2,7610
？,8,30441
狀,2,7610
憂,2,7610
鳥,2,7610
骨,2,7610
奇,4,15221
末,2,7610
退,2,7610
兵,4,15221
正,6,22831
費,2,7610
妙,2,7610
朘,2,7610
蠆,2,7610
：,6,22831
識,2,7610
閉,2,7610
比,2,7610
甚,4,15221
法,10,38052
厚,8,30441
利,8,30441
慎,2,7610
顧,2,7610
敢,4,15221
佐,2,7610
行,2,7610
器,2,7610
微,2,7610
止,2,7610
志,2,7610
忌,2,7610
混,2,7610
明,2,7610
味,4,15221
精,2,7610
斯,2,7610
古,2,7610
踐,2,7610
無,2,7610
視,2,7610
高,2,7610
谷,8,30441
母,2,7610
赤,2,7610
持,4,15221
治,4,15221
籥,2,7610
強,10,38052
一,2,7610
篤,2,7610
鄰,2,7610
牝,4,15221
文,2,7610
欲,20,76104
濁,4,15221
樂,2,7610
同,4,15221
靜,6,22831
主,4,15221
和,10,38052
長,8,30441
虺,2,7610
罪,2,7610
謀,2,7610
化,6,22831
含,2,7610
兌,2,7610
王,12,45662
功,2,7610
咎,4,15221
頌,2,7610
詀,2,7610
解,2,7610
德,2,7610
譬,2,7610
深,2,7610
素,2,7610
吾,4,15221
失,4,15221
屬,2,7610
折,4,15221
豫,2,7610
知,32,121766
相,14,53272
倍,2,7610
事,16,60883
筋,2,7610
合,6,22831
福,2,7610
氣,2,7610
貨,4,15221
弱,4,15221
各,2,7610
蜂,2,7610
我,8,30441
尃,2,7610
尚,2,7610
間,2,7610
方,2,7610
