Character, Abs. Freq., Rel. Freq.
側,2,6605
木,4,13210
士,2,6605
引,6,19815
祿,4,13210
枝,2,6605
鼈,4,13210
樂,2,6605
翣,8,26420
情,2,6605
革,2,6605
賓,4,13210
緘,4,13210
母,2,6605
口,2,6605
從,2,6605
往,4,13210
盡,6,19815
作,2,6605
西,2,6605
攢,4,13210
除,4,13210
祭,20,66050
妣,4,13210
落,10,33025
轘,4,13210
氣,6,19815
惡,2,6605
物,8,26420
來,2,6605
徐,4,13210
聲,4,13210
諸,4,13210
手,2,6605
轜,4,13210
泥,2,6605
績,2,6605
甕,2,6605
殪,2,6605
期,6,19815
主,4,13210
澌,4,13210
閉,4,13210
蓋,2,6605
翳,6,19815
念,2,6605
消,2,6605
罪,4,13210
小,12,39630
重,6,19815
祉,2,6605
耳,6,19815
珠,2,6605
墓,2,6605
緦,8,26420
明,4,13210
稍,2,6605
薨,4,13210
塗,10,33025
祚,2,6605
冠,4,13210
形,10,33025
滑,2,6605
地,2,6605
早,2,6605
終,8,26420
水,2,6605
爵,2,6605
速,2,6605
禽,2,6605
食,2,6605
麻,10,33025
間,4,13210
要,4,13210
使,16,52840
資,2,6605
止,4,13210
痗,2,6605
加,6,19815
異,2,6605
芻,2,6605
老,2,6605
縗,10,33025
會,2,6605
象,6,19815
勝,4,13210
易,2,6605
時,4,13210
葉,2,6605
市,6,19815
表,2,6605
殺,6,19815
繫,2,6605
鑊,2,6605
紼,4,13210
大,12,39630
左,2,6605
搉,4,13210
益,2,6605
安,4,13210
功,8,26420
藏,6,19815
棺,12,39630
弱,2,6605
誅,4,13210
慢,4,13210
用,6,19815
發,4,13210
哭,4,13210
久,6,19815
懸,8,26420
硼,2,6605
禫,2,6605
覆,4,13210
停,6,19815
起,2,6605
經,8,26420
關,4,13210
威,2,6605
頸,4,13210
侯,2,6605
棄,8,26420
成,8,26420
儗,4,13210
僂,2,6605
歛,6,19815
澹,2,6605
披,4,13210
慕,4,13210
繩,2,6605
假,2,6605
牆,4,13210
漆,2,6605
束,6,19815
帶,4,13210
柳,4,13210
命,2,6605
投,2,6605
月,6,19815
輿,2,6605
株,4,13210
欲,2,6605
傷,10,33025
人,16,52840
獸,2,6605
思,4,13210
清,2,6605
乾,2,6605
壙,4,13210
著,2,6605
喪,2,6605
屋,2,6605
袵,4,13210
右,2,6605
縊,4,13210
道,2,6605
精,2,6605
埋,8,26420
豺,2,6605
竟,6,19815
暴,2,6605
首,2,6605
獄,4,13210
尸,14,46235
柩,4,13210
頂,2,6605
周,2,6605
神,8,26420
日,4,13210
滿,2,6605
樸,2,6605
即,2,6605
絰,4,13210
客,2,6605
體,4,13210
絕,2,6605
定,2,6605
材,2,6605
趨,2,6605
擺,4,13210
掠,4,13210
兩,2,6605
畫,2,6605
銅,2,6605
末,4,13210
祥,6,19815
腰,4,13210
腫,4,13210
少,2,6605
孫,2,6605
肢,2,6605
徂,6,19815
考,8,26420
復,8,26420
名,10,33025
車,10,33025
槁,6,19815
隨,2,6605
渴,2,6605
具,2,6605
上,4,13210
斷,2,6605
一,2,6605
比,6,19815
溺,4,13210
宮,2,6605
祔,4,13210
言,26,85865
節,2,6605
燒,4,13210
似,4,13210
頭,2,6605
殯,6,19815
任,4,13210
約,2,6605
槌,2,6605
戰,2,6605
馬,2,6605
施,2,6605
縞,2,6605
襲,4,13210
高,2,6605
圓,2,6605
廟,2,6605
竄,4,13210
裂,2,6605
兵,6,19815
哀,4,13210
細,4,13210
布,2,6605
衰,2,6605
殷,4,13210
禁,4,13210
握,4,13210
際,2,6605
望,2,6605
函,2,6605
直,2,6605
；,2,6605
扇,4,13210
米,2,6605
古,2,6605
為,20,66050
餘,6,19815
遠,4,13210
葬,18,59445
屬,2,6605
捐,4,13210
䟽,4,13210
夭,4,13210
各,4,13210
交,4,13210
傾,2,6605
送,4,13210
祖,4,13210
究,4,13210
空,2,6605
丘,4,13210
折,2,6605
曠,4,13210
崩,6,19815
腐,2,6605
善,8,26420
甲,4,13210
齊,4,13210
朔,2,6605
煮,2,6605
生,6,19815
共,2,6605
靈,4,13210
粥,2,6605
涼,2,6605
年,2,6605
根,2,6605
