Character, Abs. Freq., Rel. Freq.
密,2,38462
漉,4,76923
赤,4,76923
輕,2,38462
白,4,76923
蟄,4,76923
飛,2,38462
爐,4,76923
盧,4,76923
肥,2,38462
肝,4,76923
上,2,38462
吐,4,76923
中,2,38462
元,4,76923
易,2,38462
土,16,307692
貢,2,38462
乾,2,38462
膩,4,76923
濡,2,38462
生,6,115385
流,2,38462
似,4,76923
順,4,76923
脂,2,38462
漂,4,76923
漫,2,38462
廣,4,76923
》,2,38462
地,4,76923
青,4,76923
瀼,2,38462
衍,4,76923
埴,4,76923
平,6,115385
大,2,38462
散,4,76923
《,2,38462
壤,2,38462
水,4,76923
徐,2,38462
黑,4,76923
黃,4,76923
萬,4,76923
處,2,38462
諦,4,76923
信,2,38462
；,18,346154
黏,2,38462
黎,4,76923
火,2,38462
州,2,38462
色,6,115385
填,4,76923
高,2,38462
稼,2,38462
意,4,76923
陸,4,76923
溼,2,38462
坤,4,76923
底,4,76923
隰,4,76923
細,2,38462
潤,2,38462
原,4,76923
耕,2,38462
鹵,4,76923
氣,2,38462
物,6,115385
滿,2,38462
載,2,38462
體,2,38462
澤,4,76923
濕,2,38462
鼠,4,76923
草,2,38462
田,4,76923
解,2,38462
言,6,115385
