Character, Abs. Freq., Rel. Freq.
區,4,11716
水,12,35149
機,4,11716
嘒,6,17575
抆,4,11716
比,2,5858
偃,2,5858
含,4,11716
載,6,17575
頭,8,23433
持,2,5858
仁,6,17575
隨,4,11716
厚,6,17575
瞳,6,17575
相,12,35149
堅,8,23433
曲,4,11716
易,2,5858
圍,6,17575
峻,4,11716
氣,22,64441
地,2,5858
默,4,11716
事,2,5858
拒,4,11716
肩,2,5858
劑,4,11716
筋,2,5858
皮,4,11716
稍,2,5858
手,2,5858
體,22,64441
隱,2,5858
挾,6,17575
言,24,70299
邊,2,5858
投,2,5858
首,2,5858
漱,2,5858
末,2,5858
咀,2,5858
容,2,5858
秀,4,11716
虛,4,11716
塞,8,23433
名,10,29291
貫,2,5858
耏,6,17575
确,8,23433
橫,2,5858
胑,2,5858
根,2,5858
微,6,17575
殺,2,5858
聚,6,17575
心,4,11716
免,4,11716
行,4,11716
夾,2,5858
衝,2,5858
緣,4,11716
外,2,5858
上,20,58582
髯,6,17575
汁,6,17575
處,4,11716
內,2,5858
指,2,5858
力,4,11716
幕,8,23433
肉,8,23433
複,4,11716
貌,4,11716
元,2,5858
腕,2,5858
胡,2,5858
肺,2,5858
搖,4,11716
歛,4,11716
涕,6,17575
蹁,4,11716
伸,8,23433
因,8,23433
異,2,5858
攄,2,5858
腎,4,11716
當,2,5858
為,14,41008
脰,2,5858
卷,4,11716
徑,4,11716
深,2,5858
鼻,6,17575
狀,2,5858
勒,4,11716
口,14,41008
垠,2,5858
揔,2,5858
旁,12,35149
卑,2,5858
肋,2,5858
齒,4,11716
多,4,11716
坐,2,5858
幽,2,5858
䑍,6,17575
制,2,5858
高,6,17575
滑,4,11716
盛,2,5858
「,2,5858
約,4,11716
脅,4,11716
流,4,11716
骨,10,29291
引,4,11716
繹,4,11716
濊,6,17575
布,4,11716
泄,4,11716
鼸,4,11716
幼,2,5858
獨,4,11716
髀,4,11716
灌,2,5858
漿,4,11716
明,2,5858
膺,2,5858
醲,4,11716
化,2,5858
挺,2,5858
眉,2,5858
牢,2,5858
蔭,4,11716
啌,4,11716
髦,2,5858
裏,2,5858
蹄,2,5858
倍,2,5858
嗌,2,5858
圜,2,5858
膜,2,5858
頰,8,23433
須,6,17575
重,4,11716
節,6,17575
積,6,17575
卻,4,11716
脣,2,5858
翕,2,5858
要,6,17575
：,4,11716
臍,6,17575
結,2,5858
枕,2,5858
舒,2,5858
端,4,11716
徐,2,5858
膈,2,5858
義,2,5858
亂,2,5858
緩,4,11716
覆,6,17575
脛,4,11716
股,4,11716
暢,4,11716
；,28,82015
肌,2,5858
底,4,11716
中,10,29291
姿,4,11716
通,4,11716
著,4,11716
精,2,5858
掌,4,11716
鼠,2,5858
汗,2,5858
宛,4,11716
狹,2,5858
垂,2,5858
髓,2,5858
少,8,23433
自,6,17575
腋,4,11716
拭,2,5858
連,2,5858
加,2,5858
舌,4,11716
尻,4,11716
睫,2,5858
毛,4,11716
扁,2,5858
耳,6,17575
廣,2,5858
胞,2,5858
冒,12,35149
長,12,35149
腹,6,17575
限,10,29291
踝,6,17575
形,16,46866
青,2,5858
阨,2,5858
闔,4,11716
胸,4,11716
濱,4,11716
膀,2,5858
進,6,17575
食,14,41008
尾,2,5858
頸,4,11716
眶,2,5858
絡,2,5858
眸,4,11716
靳,2,5858
檢,2,5858
膿,2,5858
似,12,35149
觔,2,5858
張,2,5858
成,4,11716
血,4,11716
小,12,35149
纓,2,5858
胃,10,29291
空,4,11716
時,2,5858
一,10,29291
胱,2,5858
極,2,5858
枝,6,17575
抑,4,11716
輔,4,11716
𣵡,10,29291
續,8,23433
髭,4,11716
髖,2,5858
脊,4,11716
養,4,11716
接,4,11716
面,4,11716
殿,4,11716
頞,2,5858
磽,2,5858
距,4,11716
折,2,5858
主,8,23433
寥,2,5858
擢,2,5858
鞍,4,11716
甲,2,5858
澤,4,11716
互,4,11716
角,4,11716
媚,4,11716
眼,4,11716
裨,8,23433
任,2,5858
遌,2,5858
柔,2,5858
排,2,5858
鄂,6,17575
落,2,5858
脈,2,5858
業,2,5858
●,2,5858
潤,2,5858
屈,6,17575
髮,4,11716
爪,4,11716
》,2,5858
無,2,5858
牙,8,23433
跟,2,5858
吻,2,5858
第,4,11716
肝,2,5858
鬢,8,23433
使,4,11716
終,2,5858
入,2,5858
軀,2,5858
立,8,23433
樞,4,11716
居,2,5858
屬,8,23433
強,4,11716
會,2,5858
臂,6,17575
膞,4,11716
廖,2,5858
懻,4,11716
繫,2,5858
咽,6,17575
纖,4,11716
別,4,11716
嫵,2,5858
物,30,87873
格,2,5858
人,16,46866
域,2,5858
」,2,5858
理,2,5858
大,6,17575
岸,2,5858
直,2,5858
鬚,6,17575
膚,6,17575
《,2,5858
注,6,17575
裹,6,17575
唾,2,5858
承,6,17575
團,2,5858
復,2,5858
滓,2,5858
崖,4,11716
趾,2,5858
表,8,23433
壅,4,11716
莖,4,11716
遺,4,11716
插,4,11716
尋,2,5858
項,2,5858
識,4,11716
腸,6,17575
固,6,17575
踵,2,5858
幹,8,23433
恒,2,5858
膝,4,11716
道,2,5858
穢,2,5858
身,4,11716
汋,6,17575
被,4,11716
富,4,11716
鍾,6,17575
稱,8,23433
臆,2,5858
止,6,17575
頷,4,11716
背,2,5858
品,2,5858
猶,4,11716
兩,8,23433
諸,2,5858
穀,4,11716
腳,2,5858
目,2,5858
津,2,5858
短,2,5858
翳,2,5858
州,2,5858
拔,4,11716
漫,2,5858
象,4,11716
受,6,17575
脾,2,5858
鬱,2,5858
碎,2,5858
頤,6,17575
肘,2,5858
陰,2,5858
動,6,17575
紹,4,11716
額,6,17575
生,8,23433
助,2,5858
美,2,5858
車,12,35149
臟,2,5858
木,4,11716
