Character, Abs. Freq., Rel. Freq.
深,4,14154
倍,4,14154
邪,2,7077
彩,2,7077
行,10,35386
積,4,14154
把,2,7077
角,4,14154
地,2,7077
時,4,14154
鞾,4,14154
緝,4,14154
單,4,14154
屬,6,21231
舉,2,7077
速,2,7077
汗,6,21231
廣,4,14154
菊,2,7077
短,2,7077
作,10,35386
猶,6,21231
虛,2,7077
服,8,28309
卻,2,7077
名,18,63694
末,8,28309
旁,2,7077
首,2,7077
胸,4,14154
侯,4,14154
衣,50,176929
濕,2,7077
翟,4,14154
襟,6,21231
鞋,2,7077
及,2,7077
女,2,7077
自,8,28309
逼,2,7077
禰,2,7077
家,2,7077
耳,2,7077
繫,8,28309
青,4,14154
奄,2,7077
偪,2,7077
草,2,7077
詩,2,7077
褖,4,14154
浣,2,7077
裹,4,14154
久,2,7077
仰,4,14154
晚,6,21231
倨,6,21231
踞,2,7077
各,6,21231
巨,2,7077
巾,4,14154
寒,4,14154
黑,2,7077
雉,10,35386
交,6,21231
臂,4,14154
佩,2,7077
玉,2,7077
舒,2,7077
襦,16,56617
貌,2,7077
形,8,28309
掣,4,14154
尺,2,7077
鞠,2,7077
玄,2,7077
鷂,6,21231
蔽,8,28309
依,4,14154
南,4,14154
裙,6,21231
履,10,35386
章,2,7077
橫,6,21231
貫,4,14154
輕,4,14154
白,2,7077
措,4,14154
溝,2,7077
受,12,42463
非,2,7077
帕,4,14154
王,2,7077
垢,2,7077
幕,4,14154
垂,2,7077
辟,2,7077
抱,6,21231
易,2,7077
因,6,21231
踐,6,21231
田,4,14154
貳,2,7077
解,10,35386
被,6,21231
刀,4,14154
衫,6,21231
裳,10,35386
襢,4,14154
婦,10,35386
蹻,6,21231
襠,6,21231
系,2,7077
用,2,7077
色,6,21231
帨,2,7077
成,2,7077
圭,2,7077
淮,2,7077
曲,4,14154
小,6,21231
花,2,7077
撰,2,7077
拜,2,7077
畫,4,14154
散,2,7077
內,4,14154
禦,2,7077
就,2,7077
複,6,21231
闕,4,14154
衿,2,7077
肩,6,21231
布,2,7077
襪,2,7077
賤,2,7077
搘,4,14154
體,2,7077
間,2,7077
广,4,14154
襈,2,7077
方,4,14154
帛,6,21231
黃,2,7077
閉,4,14154
鉤,4,14154
幅,2,7077
裏,6,21231
跨,8,28309
袍,8,28309
靸,4,14154
荊,4,14154
開,4,14154
接,4,14154
背,8,28309
獨,2,7077
別,2,7077
人,26,92003
腳,6,21231
搏,4,14154
表,2,7077
容,2,7077
直,10,35386
群,2,7077
屝,4,14154
坦,4,14154
襲,6,21231
絡,4,14154
為,14,49540
》,2,7077
差,2,7077
言,36,127389
踧,2,7077
步,2,7077
絳,4,14154
似,2,7077
后,2,7077
外,2,7077
通,2,7077
寫,2,7077
狀,2,7077
宜,6,21231
裁,2,7077
揔,2,7077
身,2,7077
一,10,35386
覆,10,35386
頭,8,28309
障,4,14154
宏,2,7077
騰,2,7077
兩,8,28309
齊,10,35386
袿,2,7077
義,2,7077
澤,4,14154
屈,2,7077
常,2,7077
立,2,7077
文,6,21231
騎,2,7077
縢,2,7077
腹,10,35386
同,2,7077
野,2,7077
牢,4,14154
韋,6,21231
風,2,7077
入,2,7077
危,2,7077
胡,4,14154
袴,2,7077
縮,2,7077
云,2,7077
屐,8,28309
連,8,28309
跗,2,7077
翹,2,7077
領,14,49540
上,30,106157
褶,4,14154
素,6,21231
腊,8,28309
州,6,21231
牛,2,7077
見,2,7077
𧤤,10,35386
芟,2,7077
芘,2,7077
披,4,14154
手,4,14154
當,6,21231
帶,4,14154
乾,2,7077
前,8,28309
俗,2,7077
腰,2,7077
拘,4,14154
束,2,7077
備,4,14154
絮,2,7077
襌,4,14154
苞,4,14154
心,4,14154
使,6,21231
物,4,14154
翦,2,7077
無,14,49540
洛,2,7077
安,2,7077
跳,2,7077
蓄,2,7077
伸,2,7077
端,8,28309
近,2,7077
袖,14,49540
帔,2,7077
質,4,14154
緣,12,42463
向,2,7077
翬,6,21231
壅,6,21231
中,12,42463
溫,2,7077
麤,6,21231
袪,2,7077
缺,2,7077
衽,2,7077
禪,2,7077
舄,4,14154
今,2,7077
《,2,7077
皮,4,14154
䎡,12,42463
假,2,7077
正,4,14154
袂,4,14154
借,4,14154
禮,6,21231
著,12,42463
股,2,7077
繒,2,7077
頸,6,21231
狹,2,7077
便,4,14154
韠,2,7077
綴,2,7077
裾,4,14154
起,2,7077
褠,2,7077
屨,4,14154
；,10,35386
飾,2,7077
張,4,14154
施,14,49540
江,2,7077
屩,8,28309
跪,4,14154
丈,4,14154
反,4,14154
留,4,14154
鄙,4,14154
要,10,35386
冀,2,7077
大,6,21231
珠,2,7077
蹶,2,7077
泥,10,35386
褘,2,7077
麻,2,7077
襜,18,63694
相,4,14154
縫,2,7077
膝,6,21231
衾,2,7077
半,2,7077
夾,2,7077
朵,2,7077
瀆,2,7077
暑,2,7077
袒,6,21231
禁,8,28309
伊,2,7077
蔕,4,14154
羞,2,7077
褌,2,7077
