Character, Abs. Freq., Rel. Freq.
芍,14,72091
設,2,10299
產,6,30896
兩,24,123584
㽲,2,10299
脹,2,10299
痛,12,61792
但,2,10299
人,22,113285
藥,14,72091
地,2,10299
實,2,10299
黃,4,20597
嘔,4,20597
開,2,10299
宜,2,10299
匕,8,41195
梧,2,10299
斷,4,20597
宿,2,10299
為,14,72091
附,2,10299
歸,22,113285
勞,2,10299
辛,2,10299
利,8,41195
害,2,10299
熬,2,10299
臍,2,10299
無,4,20597
絕,4,20597
知,2,10299
傷,2,10299
倍,2,10299
續,2,10299
令,4,20597
蜜,4,20597
方,24,123584
師,4,20597
心,8,41195
椒,2,10299
大,10,51493
飲,12,61792
每,2,10299
盡,2,10299
病,6,30896
難,2,10299
等,2,10299
醫,2,10299
生,2,10299
蜀,2,10299
便,10,51493
起,2,10299
水,12,61792
母,6,30896
漿,4,20597
關,2,10299
少,2,10299
卻,2,10299
合,2,10299
發,2,10299
芎,12,61792
治,2,10299
桂,8,41195
解,2,10299
眩,2,10299
分,4,20597
苓,14,72091
痼,2,10299
溫,4,20597
即,4,20597
瀉,4,20597
百,2,10299
微,2,10299
元,2,10299
熱,4,20597
白,10,51493
經,4,20597
食,8,41195
扇,2,10299
頭,2,10299
疾,2,10299
枚,2,10299
法,2,10299
身,6,30896
朮,10,51493
癥,8,41195
娠,24,123584
血,8,41195
；,22,113285
刺,2,10299
常,4,20597
桃,2,10299
當,28,144181
七,6,30896
阿,2,10299
名,2,10299
宮,2,10299
貝,4,20597
醋,4,20597
煉,4,20597
內,2,10299
狀,2,10299
八,2,10299
尖,2,10299
苦,10,51493
止,6,30896
動,4,20597
再,2,10299
一,18,92688
妊,20,102987
養,6,30896
勿,2,10299
窮,4,20597
平,2,10299
差,2,10299
末,6,30896
姜,8,41195
茯,14,72091
右,16,82389
都,2,10299
葉,2,10299
草,2,10299
服,44,226571
錢,2,10299
日,16,82389
悉,2,10299
首,2,10299
甘,2,10299
細,2,10299
半,16,82389
脈,8,41195
時,2,10299
及,4,20597
弦,2,10299
丹,2,10299
衃,2,10299
腹,10,51493
寒,6,30896
胞,2,10299
牡,4,20597
豆,2,10299
滓,2,10299
葵,6,30896
消,2,10299
弱,2,10299
夏,8,41195
散,24,123584
加,12,61792
糊,2,10299
淅,2,10299
上,2,10299
屎,2,10299
腰,2,10299
麥,4,20597
條,2,10299
阻,2,10299
逆,2,10299
寸,6,30896
置,2,10299
因,2,10299
煩,2,10299
參,12,61792
胎,12,61792
粥,2,10299
漏,4,20597
主,20,102987
蠣,2,10299
膠,8,41195
重,4,20597
艾,6,30896
芩,2,10299
藏,4,20597
杵,8,41195
澤,2,10299
證,4,20597
各,12,61792
汁,6,30896
藭,6,30896
從,2,10299
清,2,10299
洒,2,10299
斤,8,41195
月,14,72091
前,4,20597
愈,8,41195
丸,28,144181
夜,2,10299
煮,2,10299
兔,2,10299
升,8,41195
仁,2,10299
氣,6,30896
枝,8,41195
皮,2,10299
更,4,20597
乾,8,41195
酒,8,41195
毒,2,10299
和,4,20597
假,2,10299
中,4,20597
滿,2,10299
：,20,102987
吐,6,30896
作,2,10299
太,2,10299
湯,8,41195
婦,14,72091
惡,4,20597
懷,8,41195
易,2,10299
陰,4,20597
味,16,82389
小,16,82389
渴,4,20597
