Character, Abs. Freq., Rel. Freq.
瘦,2,5794
源,2,5794
虫,6,17381
腎,4,11587
歷,2,5794
熱,24,69525
手,2,5794
狼,6,17381
芤,4,11587
生,8,23175
結,14,40556
涼,2,5794
溫,16,46350
苓,4,11587
神,4,11587
藭,2,5794
期,6,17381
喧,2,5794
末,10,28969
黃,12,34762
陷,2,5794
厚,6,17381
青,4,11587
杵,2,5794
因,2,5794
許,4,11587
審,2,5794
愈,6,17381
刺,6,17381
梧,2,5794
補,2,5794
隨,4,11587
唇,4,11587
髮,4,11587
胃,4,11587
疝,2,5794
黑,2,5794
狀,10,28969
搏,2,5794
右,26,75319
溺,2,5794
無,4,11587
遂,6,17381
欲,2,5794
臘,2,5794
鱗,2,5794
分,14,40556
滑,2,5794
疑,2,5794
著,2,5794
花,12,34762
斷,4,11587
參,2,5794
變,2,5794
婦,36,104287
蝕,4,11587
劇,2,5794
語,6,17381
胸,4,11587
枝,8,23175
阿,4,11587
羸,2,5794
元,2,5794
芍,8,23175
藥,14,40556
當,18,52144
哭,2,5794
安,2,5794
受,2,5794
瀉,8,23175
內,6,17381
絕,2,5794
勿,2,5794
日,18,52144
導,2,5794
欠,2,5794
肌,2,5794
問,4,11587
冒,2,5794
絲,2,5794
點,2,5794
；,44,127462
脂,2,5794
豬,2,5794
男,2,5794
烙,2,5794
吐,6,17381
但,4,11587
氣,20,57937
臠,2,5794
膝,2,5794
朴,6,17381
甘,14,40556
痞,4,11587
和,8,23175
成,2,5794
党,4,11587
裏,2,5794
白,4,11587
湯,46,133256
身,4,11587
實,6,17381
即,6,17381
兒,2,5794
牙,6,17381
微,2,5794
味,26,75319
久,6,17381
便,4,11587
反,4,11587
兩,44,127462
坐,2,5794
異,2,5794
地,2,5794
寒,22,63731
緊,2,5794
膠,6,17381
連,2,5794
喜,2,5794
行,2,5794
暮,4,11587
姜,6,17381
：,34,98494
脈,16,46350
醫,2,5794
裹,4,11587
體,2,5794
令,4,11587
礬,6,17381
根,8,23175
損,2,5794
抵,4,11587
端,2,5794
煎,6,17381
風,6,17381
弦,6,17381
雄,2,5794
加,2,5794
憂,2,5794
宜,2,5794
絡,2,5794
多,8,23175
服,24,69525
肺,2,5794
蛭,2,5794
俱,2,5794
頓,6,17381
除,2,5794
厥,2,5794
涎,8,23175
續,2,5794
冷,2,5794
麥,8,23175
衝,2,5794
齒,2,5794
棗,10,28969
尖,2,5794
滓,2,5794
新,2,5794
晝,2,5794
瘀,2,5794
心,8,23175
室,10,28969
諸,4,11587
關,2,5794
記,2,5794
自,4,11587
汗,4,11587
煩,6,17381
核,2,5794
綿,6,17381
脊,2,5794
蛇,4,11587
洗,2,5794
使,2,5794
發,10,28969
閉,2,5794
藏,8,23175
夏,8,23175
減,6,17381
師,4,11587
乾,10,28969
腹,20,57937
女,2,5794
危,2,5794
胞,6,17381
眩,2,5794
門,8,23175
疳,2,5794
粉,2,5794
形,2,5794
論,2,5794
上,4,11587
靈,2,5794
革,2,5794
歸,6,17381
飲,2,5794
藶,2,5794
千,2,5794
息,2,5794
忽,2,5794
魚,2,5794
一,34,98494
傷,8,23175
掣,2,5794
嘔,2,5794
為,24,69525
首,4,11587
疾,2,5794
條,2,5794
芎,2,5794
伸,2,5794
萸,4,11587
蕷,2,5794
知,4,11587
引,2,5794
繞,2,5794
奄,2,5794
升,36,104287
柴,2,5794
痛,14,40556
解,2,5794
鎔,2,5794
茱,4,11587
箇,4,11587
丸,16,46350
濈,2,5794
疼,4,11587
斗,2,5794
掌,2,5794
焦,2,5794
正,2,5794
沫,6,17381
年,4,11587
石,6,17381
惡,4,11587
盤,2,5794
七,6,17381
蝱,2,5794
臍,2,5794
帶,6,17381
候,2,5794
紅,6,17381
少,18,52144
唾,2,5794
產,4,11587
䗪,2,5794
胎,2,5794
口,6,17381
證,4,11587
土,6,17381
適,6,17381
葱,2,5794
附,2,5794
勻,2,5794
莖,2,5794
病,18,52144
仁,6,17381
倚,2,5794
漏,4,11587
食,2,5794
燥,4,11587
皮,6,17381
床,4,11587
穀,2,5794
非,4,11587
屬,2,5794
膏,4,11587
各,10,28969
水,34,98494
夜,2,5794
散,12,34762
八,8,23175
方,40,115875
草,6,17381
治,8,23175
葶,2,5794
陰,16,46350
槐,2,5794
山,2,5794
中,34,98494
爛,2,5794
澤,2,5794
街,2,5794
遲,2,5794
咽,2,5794
主,34,98494
渴,2,5794
蜜,4,11587
癖,2,5794
藍,6,17381
瀝,2,5794
針,2,5794
經,28,81112
犯,2,5794
時,6,17381
牡,4,11587
酒,12,34762
再,8,23175
炮,2,5794
慘,2,5794
吹,2,5794
趐,2,5794
丹,4,11587
鬼,4,11587
脛,2,5794
煉,4,11587
人,38,110081
數,8,23175
炙,2,5794
見,4,11587
悲,4,11587
泄,2,5794
讝,6,17381
兼,2,5794
來,10,28969
脾,2,5794
躁,2,5794
萬,2,5794
物,2,5794
瘡,6,17381
致,2,5794
建,4,11587
浸,4,11587
茯,4,11587
滿,8,23175
入,8,23175
堅,4,11587
絳,2,5794
敦,2,5794
陽,4,11587
顛,2,5794
瓜,6,17381
胡,2,5794
瘧,2,5794
遍,2,5794
桃,2,5794
血,28,81112
大,26,75319
吳,2,5794
覆,6,17381
繭,2,5794
熬,4,11587
筯,2,5794
止,10,28969
月,4,11587
龍,4,11587
臥,2,5794
纏,2,5794
寸,4,11587
署,2,5794
葉,2,5794
戾,2,5794
作,6,17381
名,4,11587
利,10,28969
枚,6,17381
急,4,11587
小,20,57937
癰,2,5794
種,2,5794
杏,2,5794
冬,2,5794
明,4,11587
合,2,5794
崩,2,5794
積,4,11587
假,2,5794
桂,6,17381
頭,4,11587
了,4,11587
相,6,17381
曾,2,5794
象,2,5794
脅,4,11587
轉,2,5794
辯,2,5794
半,20,57937
難,2,5794
嗔,2,5794
旋,6,17381
腰,2,5794
煮,14,40556
匕,2,5794
同,2,5794
蘇,2,5794
及,6,17381
虛,10,28969
？,8,23175
燒,2,5794
