Character, Abs. Freq., Rel. Freq.
枚,4,32000
疼,2,16000
苓,20,160000
蕷,2,16000
錢,2,16000
男,2,16000
跌,2,16000
心,4,32000
宜,2,16000
七,6,48000
條,2,16000
服,18,144000
各,4,32000
運,4,32000
：,12,96000
斗,4,32000
胃,2,16000
八,2,16000
魚,6,48000
洋,2,16000
主,18,144000
衝,2,16000
梧,2,16000
末,2,16000
趺,2,16000
小,22,176000
髮,2,16000
引,4,32000
臍,2,16000
便,24,192000
內,2,16000
口,4,32000
皮,2,16000
證,2,16000
陰,2,16000
知,4,32000
止,4,32000
急,2,16000
煮,2,16000
鹽,6,48000
日,8,64000
斤,2,16000
多,2,16000
水,16,128000
陽,4,32000
杵,6,48000
反,2,16000
麥,4,32000
淋,4,32000
茯,10,80000
汗,6,48000
半,4,32000
中,8,64000
兩,12,96000
狀,2,16000
味,14,112000
滿,2,16000
升,4,32000
溫,4,32000
吐,4,32000
虛,4,32000
用,2,16000
蜜,2,16000
浮,12,96000
匕,6,48000
食,6,48000
微,2,16000
加,2,16000
穀,4,32000
方,14,112000
滑,10,80000
膠,4,32000
右,12,96000
蛤,6,48000
為,20,160000
渴,18,144000
括,4,32000
厥,2,16000
氣,14,112000
石,10,80000
病,4,32000
薯,2,16000
丸,14,112000
腹,4,32000
灰,6,48000
弦,2,16000
上,2,16000
彈,2,16000
和,2,16000
人,4,32000
血,2,16000
大,8,64000
合,4,32000
腎,2,16000
豬,6,48000
盛,2,16000
散,22,176000
脈,12,96000
瞿,4,32000
並,2,16000
逆,2,16000
朮,2,16000
寸,6,48000
沸,2,16000
白,10,80000
家,2,16000
根,2,16000
澤,2,16000
附,2,16000
亂,2,16000
蔞,4,32000
消,12,96000
；,22,176000
分,10,80000
燥,2,16000
瀉,2,16000
肯,2,16000
即,18,144000
相,2,16000
湯,12,96000
發,8,64000
蒲,6,48000
欲,10,80000
滓,2,16000
增,2,16000
衛,2,16000
利,12,96000
熱,10,80000
參,2,16000
粟,2,16000
首,2,16000
一,14,112000
搏,2,16000
入,2,16000
竭,2,16000
燒,2,16000
溲,2,16000
勞,4,32000
名,2,16000
乾,2,16000
痛,2,16000
虎,2,16000
阿,2,16000
飲,16,128000
炮,2,16000
戎,6,48000
堅,8,64000
煉,2,16000
數,16,128000
文,6,48000
榮,2,16000
