Character, Abs. Freq., Rel. Freq.
養,2,6394
前,4,12788
曉,2,6394
淫,2,6394
沉,4,12788
安,2,6394
痛,16,51151
大,6,19182
八,10,31969
便,4,12788
陽,14,44757
利,2,6394
諸,2,6394
元,4,12788
七,2,6394
盡,2,6394
太,4,12788
火,4,12788
寂,2,6394
沫,2,6394
宿,2,6394
飲,2,6394
續,2,6394
腰,4,12788
時,12,38363
脫,2,6394
浮,8,25575
聲,6,19182
冬,2,6394
百,4,12788
：,52,166240
治,28,89514
腳,2,6394
焦,12,38363
愈,12,38363
外,4,12788
補,8,25575
短,4,12788
汗,2,6394
喘,2,6394
設,2,6394
惡,2,6394
准,2,6394
常,2,6394
合,4,12788
難,6,19182
促,2,6394
稱,2,6394
咽,2,6394
從,6,19182
水,8,25575
行,12,38363
赤,4,12788
一,6,19182
救,8,25575
實,18,57545
覺,2,6394
云,2,6394
食,8,25575
受,4,12788
獸,4,12788
聞,2,6394
細,2,6394
被,2,6394
唾,2,6394
？,16,51151
黃,4,12788
呼,4,12788
首,2,6394
文,2,6394
驚,2,6394
調,4,12788
掣,2,6394
見,6,19182
節,6,19182
形,2,6394
更,2,6394
肢,8,25575
甲,10,31969
膏,2,6394
暴,2,6394
反,4,12788
令,12,38363
竅,4,12788
疼,4,12788
問,16,51151
絡,8,25575
膚,4,12788
陰,4,12788
䅽,2,6394
攻,4,12788
傳,10,31969
邪,20,63939
竭,2,6394
欬,4,12788
欲,2,6394
色,30,95908
脊,2,6394
人,20,63939
急,10,31969
王,8,25575
客,2,6394
重,2,6394
適,2,6394
口,12,38363
穀,2,6394
度,2,6394
季,2,6394
衰,2,6394
惟,2,6394
隨,6,19182
臟,20,63939
益,2,6394
妙,2,6394
味,2,6394
因,8,25575
物,4,12788
即,24,76726
腹,2,6394
會,2,6394
病,74,236573
理,6,19182
般,2,6394
寒,10,31969
夏,2,6394
內,2,6394
間,4,12788
冷,6,19182
摩,2,6394
皮,6,19182
熱,6,19182
脹,2,6394
微,12,38363
生,6,19182
寸,4,12788
青,10,31969
心,12,38363
引,4,12788
肺,6,19182
素,2,6394
加,2,6394
動,6,19182
慎,2,6394
小,2,6394
振,4,12788
災,4,12788
才,2,6394
閉,2,6394
勿,6,19182
亡,2,6394
厥,6,19182
部,2,6394
正,2,6394
目,2,6394
壅,2,6394
唇,2,6394
拘,2,6394
中,30,95908
半,2,6394
越,2,6394
遺,2,6394
工,4,12788
濁,2,6394
滿,2,6394
相,6,19182
灸,2,6394
虛,8,25575
刃,2,6394
蟲,2,6394
害,2,6394
搖,4,12788
苦,8,25575
倣,2,6394
願,2,6394
納,2,6394
長,4,12788
各,12,38363
啾,4,12788
千,2,6394
導,2,6394
遠,2,6394
浸,2,6394
暢,2,6394
關,2,6394
醫,4,12788
來,2,6394
傷,24,76726
痊,2,6394
都,2,6394
強,2,6394
吸,8,25575
臂,2,6394
室,4,12788
服,2,6394
鍼,2,6394
滑,4,12788
極,8,25575
忤,2,6394
肝,24,76726
要,2,6394
血,8,25575
流,8,25575
應,2,6394
禽,2,6394
發,2,6394
非,6,19182
痿,2,6394
稟,2,6394
無,6,19182
胃,2,6394
師,30,95908
噦,2,6394
張,2,6394
腸,2,6394
骨,2,6394
疾,4,12788
圓,2,6394
脾,18,57545
藥,2,6394
入,28,89514
獨,2,6394
留,2,6394
損,2,6394
多,2,6394
婦,2,6394
真,4,12788
體,6,19182
醋,2,6394
明,2,6394
霧,4,12788
少,4,12788
語,6,19182
息,6,19182
房,4,12788
夜,2,6394
風,14,44757
月,2,6394
盛,8,25575
天,10,31969
胸,4,12788
假,2,6394
通,6,19182
上,14,44757
甘,6,19182
身,8,25575
鼻,4,12788
塞,4,12788
居,4,12788
藏,4,12788
苓,2,6394
飥,2,6394
喑,4,12788
腠,6,19182
數,2,6394
表,8,25575
譬,2,6394
詳,2,6394
裏,10,31969
覆,2,6394
金,6,19182
卒,6,19182
解,4,12788
為,40,127877
背,2,6394
渴,2,6394
溫,12,38363
經,12,38363
；,52,166240
干,2,6394
思,2,6394
弱,2,6394
說,2,6394
氣,38,121483
徹,2,6394
證,2,6394
鮮,2,6394
勞,4,12788
白,4,12788
論,2,6394
死,14,44757
滯,2,6394
助,2,6394
辛,2,6394
喜,4,12788
起,4,12788
自,6,19182
黑,4,12788
肩,2,6394
餘,6,19182
處,2,6394
向,2,6394
犯,2,6394
當,16,51151
酸,4,12788
脈,18,57545
腎,4,12788
知,2,6394
吐,2,6394
頭,8,25575
條,4,12788
用,10,31969
瘡,2,6394
義,2,6394
和,10,31969
項,2,6394
舟,4,12788
法,6,19182
清,6,19182
腑,12,38363
暮,2,6394
膈,2,6394
面,2,6394
豬,2,6394
湯,2,6394
止,2,6394
痼,4,12788
堅,2,6394
鳴,2,6394
萬,4,12788
注,2,6394
