Character, Abs. Freq., Rel. Freq.
馬,2,3391
灌,2,3391
窟,2,3391
苗,2,3391
求,2,3391
勁,2,3391
別,2,3391
黑,2,3391
難,22,37301
大,14,23737
堯,4,6782
正,2,3391
侈,4,6782
舒,2,3391
矜,2,3391
慎,2,3391
境,2,3391
退,6,10173
蔽,2,3391
梁,2,3391
厚,2,3391
優,2,3391
留,2,3391
隕,2,3391
管,4,6782
擅,4,6782
犯,2,3391
識,2,3391
擇,2,3391
節,6,10173
闇,2,3391
纏,2,3391
徇,2,3391
万,2,3391
槁,2,3391
危,6,10173
類,4,6782
使,12,20346
居,4,6782
馳,2,3391
千,4,6782
權,2,3391
逢,4,6782
百,6,10173
害,8,13564
重,6,10173
侯,18,30519
文,2,3391
丹,2,3391
劫,4,6782
父,4,6782
因,4,6782
憂,4,6782
行,16,27128
澤,2,3391
蹙,2,3391
意,12,20346
董,2,3391
物,4,6782
魏,2,3391
夙,2,3391
沮,2,3391
解,2,3391
卿,2,3391
方,4,6782
」,18,30519
利,24,40692
白,6,10173
臨,6,10173
飲,4,6782
結,2,3391
龍,2,3391
牧,4,6782
羞,2,3391
盡,2,3391
構,2,3391
苟,2,3391
前,2,3391
壑,4,6782
來,2,3391
恭,2,3391
宣,2,3391
謀,2,3391
嚴,2,3391
駒,2,3391
肅,2,3391
朋,6,10173
范,2,3391
并,2,3391
共,2,3391
序,2,3391
畝,2,3391
道,12,20346
騁,2,3391
浮,2,3391
臣,74,125466
異,4,6782
齊,8,13564
噲,6,10173
幼,2,3391
郎,6,10173
崇,2,3391
理,2,3391
匹,2,3391
朱,2,3391
寵,8,13564
幣,2,3391
勝,4,6782
溺,2,3391
魯,2,3391
失,6,10173
人,54,91556
配,4,6782
自,6,10173
實,2,3391
當,12,20346
己,4,6782
藪,2,3391
霸,2,3391
芋,2,3391
滅,4,6782
華,2,3391
儀,2,3391
放,2,3391
韓,2,3391
明,40,67820
刁,2,3391
烹,2,3391
蠡,2,3391
資,2,3391
忍,2,3391
隰,2,3391
禍,2,3391
公,18,30519
陳,6,10173
度,8,13564
靈,4,6782
畎,2,3391
門,2,3391
輔,2,3391
敬,4,6782
巷,6,10173
便,4,6782
要,2,3391
衛,6,10173
間,2,3391
舅,2,3391
觴,2,3391
發,4,6782
穴,4,6782
聲,2,3391
肖,2,3391
信,2,3391
德,2,3391
古,10,16955
諫,2,3391
萃,2,3391
辜,2,3391
賥,2,3391
辟,2,3391
立,4,6782
竦,2,3391
夏,4,6782
欲,2,3391
牙,6,10173
：,22,37301
惡,2,3391
稷,2,3391
干,4,6782
國,66,111902
險,2,3391
桓,2,3391
瑰,2,3391
傳,2,3391
成,8,13564
后,4,6782
食,6,10173
武,4,6782
亥,2,3391
智,12,20346
疑,6,10173
里,4,6782
賊,2,3391
田,6,10173
用,10,16955
昏,6,10173
貳,2,3391
叔,4,6782
諷,2,3391
罼,6,10173
斬,2,3391
位,4,6782
甚,4,6782
尊,18,30519
石,2,3391
術,2,3391
兜,2,3391
邪,4,6782
洧,4,6782
鍾,2,3391
怪,4,6782
舉,16,27128
處,4,6782
主,66,111902
蹇,2,3391
比,4,6782
嬖,2,3391
享,2,3391
伯,6,10173
彌,2,3391
威,12,20346
舞,2,3391
恆,2,3391
憎,2,3391
族,6,10173
口,4,6782
枝,4,6782
待,2,3391
妻,4,6782
徒,2,3391
湯,2,3391
吳,6,10173
蓋,2,3391
並,2,3391
禪,2,3391
強,2,3391
罕,4,6782
續,2,3391
外,26,44083
接,2,3391
滑,2,3391
譎,2,3391
奪,4,6782
左,8,13564
兵,4,6782
奚,2,3391
陰,4,6782
施,2,3391
情,6,10173
傷,2,3391
撓,6,10173
殘,4,6782
昔,2,3391
患,2,3391
光,2,3391
縱,2,3391
固,2,3391
紂,4,6782
止,2,3391
罪,4,6782
財,2,3391
破,16,27128
種,4,6782
皋,2,3391
制,2,3391
隱,4,6782
歸,2,3391
辭,4,6782
貪,4,6782
思,2,3391
仁,6,10173
隨,8,13564
穀,2,3391
布,2,3391
夷,2,3391
狐,2,3391
谷,6,10173
「,18,30519
群,2,3391
生,2,3391
圄,2,3391
關,2,3391
免,2,3391
釜,4,6782
士,6,10173
伐,4,6782
好,4,6782
禹,2,3391
鄭,8,13564
晉,12,20346
服,6,10173
猶,4,6782
王,42,71211
勸,4,6782
舜,6,10173
爭,2,3391
操,2,3391
南,2,3391
及,2,3391
手,2,3391
緤,2,3391
湮,2,3391
君,42,71211
勤,4,6782
察,2,3391
功,10,16955
誠,6,10173
尚,6,10173
耨,2,3391
頡,2,3391
奉,2,3391
治,10,16955
輿,2,3391
聞,8,13564
非,20,33910
病,2,3391
敗,2,3391
乾,2,3391
力,4,6782
廷,2,3391
瑞,2,3391
家,10,16955
佐,2,3391
語,4,6782
城,2,3391
顛,2,3391
說,12,20346
反,4,6782
均,2,3391
兄,2,3391
右,8,13564
泉,2,3391
木,2,3391
弱,2,3391
泄,4,6782
秦,2,3391
孫,8,13564
陶,2,3391
年,2,3391
我,4,6782
孤,2,3391
師,6,10173
併,2,3391
假,4,6782
筩,2,3391
一,16,27128
虛,2,3391
鮮,2,3391
苦,2,3391
辯,2,3391
宰,4,6782
妾,4,6782
男,2,3391
日,10,16955
禁,14,23737
適,12,20346
諸,10,16955
扈,2,3391
疾,4,6782
刑,6,10173
弋,6,10173
單,4,6782
蔡,2,3391
爵,6,10173
戮,2,3391
徵,4,6782
多,2,3391
同,4,6782
長,4,6782
偪,6,10173
近,2,3391
世,10,16955
；,28,47474
望,2,3391
修,6,10173
措,2,3391
稱,8,13564
旦,2,3391
高,4,6782
譟,2,3391
慶,2,3391
領,2,3391
務,10,16955
沉,2,3391
諛,2,3391
逞,2,3391
上,24,40692
陵,2,3391
名,14,23737
賜,2,3391
知,12,20346
應,2,3391
罰,8,13564
楚,4,6782
談,6,10173
揜,2,3391
谿,2,3391
通,2,3391
鐘,2,3391
欣,4,6782
今,8,13564
奭,2,3391
殺,14,23737
親,8,13564
眩,2,3391
甲,2,3391
紲,2,3391
邵,2,3391
御,2,3391
飢,2,3391
趙,6,10173
逼,2,3391
七,2,3391
令,6,10173
誣,4,6782
寐,2,3391
偉,2,3391
直,2,3391
耒,2,3391
牛,2,3391
草,2,3391
少,2,3391
鎮,2,3391
善,8,13564
全,2,3391
囹,2,3391
尹,4,6782
割,2,3391
挾,2,3391
小,10,16955
分,6,10173
遂,2,3391
目,4,6782
私,6,10173
汙,2,3391
致,2,3391
誅,2,3391
稽,2,3391
太,10,16955
飯,2,3391
半,2,3391
議,2,3391
地,6,10173
巖,2,3391
夜,4,6782
獵,2,3391
義,8,13564
荊,6,10173
削,2,3391
安,18,30519
心,4,6782
氏,8,13564
擬,16,27128
遠,2,3391
卞,2,3391
顯,4,6782
良,6,10173
餓,2,3391
中,6,10173
對,2,3391
周,16,27128
燕,4,6782
內,24,40692
任,8,13564
宋,4,6782
從,18,30519
盈,2,3391
搆,4,6782
敵,2,3391
將,8,13564
賞,10,16955
為,48,81384
執,2,3391
北,2,3391
赦,2,3391
持,4,6782
許,2,3391
芻,2,3391
寡,2,3391
存,4,6782
樂,6,10173
觀,6,10173
辱,2,3391
笑,4,6782
亡,20,33910
受,2,3391
相,12,20346
虎,2,3391
賂,2,3391
移,2,3391
衰,2,3391
慾,2,3391
祿,6,10173
頓,2,3391
僑,4,6782
孽,4,6782
荼,2,3391
易,8,13564
賤,4,6782
喜,6,10173
耳,6,10173
微,4,6782
伏,2,3391
弒,10,16955
戟,2,3391
矯,2,3391
記,6,10173
譽,14,23737
無,30,50865
聖,22,37301
援,2,3391
額,2,3391
詐,4,6782
獄,2,3391
動,2,3391
帛,2,3391
民,22,37301
廣,6,10173
愈,2,3391
伊,2,3391
季,4,6782
敦,2,3391
讙,2,3391
見,10,16955
卑,16,27128
轉,2,3391
作,4,6782
法,22,37301
山,6,10173
讎,2,3391
況,4,6782
桀,4,6782
政,2,3391
水,2,3391
撞,2,3391
謹,2,3391
臺,2,3391
避,4,6782
索,2,3391
聽,6,10173
商,4,6782
言,26,44083
亂,22,37301
姦,14,23737
啟,2,3391
登,2,3391
暴,2,3391
勢,2,3391
貨,2,3391
胥,4,6782
身,48,81384
予,2,3391
司,2,3391
勞,4,6782
起,2,3391
榭,2,3391
冶,2,3391
怒,2,3391
？,18,30519
豎,2,3391
精,2,3391
屬,2,3391
官,8,13564
賢,12,20346
諂,2,3391
恐,6,10173
收,2,3391
林,2,3391
申,6,10173
攄,2,3391
淫,4,6782
斷,2,3391
弟,2,3391
往,4,6782
女,4,6782
泰,2,3391
興,2,3391
面,2,3391
時,6,10173
仲,2,3391
廢,2,3391
忘,2,3391
數,14,23737
衣,2,3391
寧,2,3391
闚,2,3391
萬,2,3391
忌,2,3391
體,4,6782
事,22,37301
鄰,4,6782
敢,10,16955
集,2,3391
黨,14,23737
最,2,3391
職,2,3391
死,20,33910
儉,2,3391
曲,6,10173
陽,8,13564
約,2,3391
池,2,3391
冬,2,3391
越,4,6782
天,22,37301
虧,2,3391
聚,2,3391
進,8,13564
