Character, Abs. Freq., Rel. Freq.
虎,6,18061
乘,18,54184
千,18,54184
！,4,12041
客,6,18061
亭,2,6020
除,2,6020
固,6,18061
巧,2,6020
飛,6,18061
致,6,18061
踵,2,6020
亂,44,132450
百,2,6020
廢,2,6020
無,12,36123
餓,4,12041
越,6,18061
苦,2,6020
尊,2,6020
止,2,6020
相,8,24082
位,16,48164
《,2,6020
一,20,60205
處,4,12041
里,10,30102
螘,6,18061
禁,8,24082
？,8,24082
粱,4,12041
屬,2,6020
度,2,6020
隱,2,6020
智,6,18061
比,2,6020
笑,6,18061
日,10,30102
絕,2,6020
臧,6,18061
風,2,6020
理,4,12041
罰,4,12041
溺,6,18061
置,2,6020
立,2,6020
輪,2,6020
譽,4,12041
術,2,6020
」,10,30102
失,6,18061
飴,2,6020
令,6,18061
法,12,36123
入,2,6020
委,2,6020
行,8,24082
狼,2,6020
肉,4,12041
非,16,48164
人,46,138471
專,4,12041
恃,4,12041
書,2,6020
便,2,6020
醲,4,12041
活,2,6020
鬻,2,6020
將,2,6020
多,2,6020
驥,2,6020
數,4,12041
霧,16,48164
容,2,6020
心,2,6020
楯,10,30102
遊,12,36123
善,4,12041
轡,2,6020
烙,2,6020
背,4,12041
盡,2,6020
高,4,12041
傷,2,6020
兩,4,12041
號,2,6020
古,4,12041
免,2,6020
情,2,6020
游,2,6020
慕,2,6020
為,60,180614
敗,2,6020
勸,2,6020
服,4,12041
馳,2,6020
仲,2,6020
異,4,12041
明,8,24082
鞭,2,6020
知,8,24082
身,4,12041
量,2,6020
速,4,12041
臺,2,6020
利,8,24082
海,2,6020
應,8,24082
擇,2,6020
深,2,6020
罷,2,6020
慎,4,12041
設,6,18061
騰,4,12041
治,54,162553
慶,2,6020
議,4,12041
』,4,12041
卑,2,6020
萊,2,6020
「,10,30102
『,4,12041
味,2,6020
面,6,18061
官,2,6020
筴,2,6020
用,10,30102
遠,10,30102
邑,2,6020
家,2,6020
中,10,30102
弱,2,6020
累,2,6020
欲,4,12041
傅,4,12041
事,4,12041
雲,16,48164
賞,2,6020
俄,2,6020
復,2,6020
待,20,60205
吾,18,54184
奚,4,12041
輕,2,6020
矢,2,6020
生,6,18061
分,2,6020
辭,2,6020
池,2,6020
見,2,6020
猶,6,18061
自,4,12041
力,2,6020
論,2,6020
教,2,6020
追,4,12041
舜,24,72246
戶,2,6020
類,2,6020
；,18,54184
薄,4,12041
拙,2,6020
使,20,60205
賢,34,102348
駬,2,6020
手,2,6020
詘,4,12041
美,2,6020
弩,2,6020
堅,2,6020
材,6,18061
辯,4,12041
及,6,18061
道,4,12041
當,2,6020
匹,4,12041
刑,6,18061
患,4,12041
救,6,18061
離,2,6020
性,4,12041
肖,18,54184
抱,4,12041
栝,2,6020
寡,4,12041
王,18,54184
蜜,2,6020
龍,10,30102
淺,2,6020
食,4,12041
言,14,42143
陷,10,30102
說,8,24082
天,32,96328
威,8,24082
難,2,6020
本,2,6020
》,2,6020
棄,2,6020
今,14,42143
車,12,36123
盛,4,12041
重,2,6020
助,2,6020
變,2,6020
進,2,6020
肩,2,6020
託,2,6020
末,4,12041
勢,86,258880
民,10,30102
馬,12,36123
翼,6,18061
任,6,18061
聽,2,6020
螾,6,18061
隨,2,6020
紂,28,84287
歷,2,6020
物,4,12041
御,16,48164
上,6,18061
釋,4,12041
良,20,60205
炮,2,6020
積,2,6020
大,4,12041
矛,12,36123
暴,2,6020
馭,2,6020
國,4,12041
桀,34,102348
語,2,6020
養,2,6020
濟,4,12041
堯,32,96328
成,4,12041
獲,6,18061
觀,2,6020
戮,2,6020
周,2,6020
害,2,6020
毋,2,6020
蛇,10,30102
隸,2,6020
世,12,36123
權,4,12041
同,2,6020
：,16,48164
激,2,6020
霽,2,6020
名,4,12041
南,6,18061
