Character, Abs. Freq., Rel. Freq.
《,4,23283
忘,2,11641
結,4,23283
解,6,34924
學,2,11641
貞,2,11641
左,2,11641
鬥,10,58207
音,10,58207
貴,6,34924
急,2,11641
道,16,93132
相,4,23283
妙,2,11641
愛,2,11641
忌,2,11641
國,4,23283
識,2,11641
少,2,11641
士,2,11641
外,2,11641
象,8,46566
伐,2,11641
！,2,11641
勝,6,34924
失,2,11641
逢,2,11641
善,4,23283
苟,2,11641
探,6,34924
執,4,23283
遠,2,11641
非,4,23283
弱,4,23283
安,4,23283
時,4,23283
禁,2,11641
方,4,23283
持,2,11641
術,4,23283
語,6,34924
施,4,23283
脅,2,11641
坑,2,11641
亡,2,11641
行,6,34924
破,2,11641
敗,6,34924
抑,2,11641
信,4,23283
無,6,34924
瀾,2,11641
書,2,11641
款,4,23283
處,2,11641
引,2,11641
卻,6,34924
諱,2,11641
翼,2,11641
商,2,11641
羽,2,11641
繫,6,34924
義,8,46566
氣,4,23283
惠,2,11641
詩,2,11641
名,2,11641
倍,2,11641
影,2,11641
強,6,34924
養,2,11641
小,4,23283
極,4,23283
見,10,58207
世,2,11641
聖,2,11641
會,4,23283
耳,4,23283
儔,2,11641
；,16,93132
主,4,23283
要,2,11641
察,2,11641
制,10,58207
和,2,11641
守,12,69849
色,4,23283
莊,2,11641
死,4,23283
》,4,23283
美,2,11641
立,2,11641
自,6,34924
拘,6,34924
亂,2,11641
志,2,11641
厲,2,11641
奇,2,11641
功,4,23283
卑,2,11641
知,6,34924
智,2,11641
隙,12,69849
酒,2,11641
遭,4,23283
樞,2,11641
握,2,11641
用,2,11641
思,2,11641
須,2,11641
容,8,46566
勢,4,23283
聲,10,58207
家,4,23283
配,2,11641
危,4,23283
數,4,23283
漫,2,11641
內,4,23283
盛,2,11641
逆,2,11641
驗,8,46566
效,2,11641
厚,2,11641
隱,2,11641
目,4,23283
微,2,11641
淫,4,23283
「,28,162980
塞,2,11641
餘,2,11641
他,2,11641
轉,2,11641
己,8,46566
使,8,46566
言,16,93132
伺,2,11641
伎,2,11641
依,2,11641
終,2,11641
退,2,11641
填,2,11641
體,4,23283
樂,2,11641
驚,2,11641
攝,4,23283
心,12,69849
僻,2,11641
響,2,11641
喜,4,23283
賢,2,11641
溫,2,11641
同,2,11641
負,4,23283
散,2,11641
爻,2,11641
窮,4,23283
悲,2,11641
期,2,11641
存,2,11641
振,2,11641
免,2,11641
為,28,162980
恐,2,11641
貌,10,58207
本,2,11641
明,2,11641
哀,4,23283
吾,2,11641
趨,2,11641
變,2,11641
害,4,23283
怪,2,11641
憂,2,11641
經,6,34924
中,4,23283
調,2,11641
往,2,11641
綴,6,34924
觀,2,11641
視,2,11641
邪,2,11641
前,2,11641
仁,2,11641
紀,4,23283
博,2,11641
多,4,23283
事,6,34924
徵,4,23283
譽,2,11641
庶,2,11641
收,2,11641
曲,2,11641
成,2,11641
合,8,46566
比,4,23283
羸,2,11641
生,4,23283
禦,2,11641
動,4,23283
」,28,162980
高,2,11641
力,2,11641
藏,2,11641
恩,4,23283
示,2,11641
恥,2,11641
醜,2,11641
大,6,34924
仇,6,34924
并,2,11641
誠,4,23283
接,4,23283
歸,2,11641
因,2,11641
救,6,34924
異,2,11641
短,6,34924
聽,2,11641
日,2,11641
人,30,174622
奪,2,11641
命,4,23283
蓋,4,23283
情,2,11641
傷,6,34924
角,2,11641
隨,2,11641
復,2,11641
進,2,11641
德,8,46566
汙,2,11641
形,8,46566
稱,6,34924
畏,2,11641
從,2,11641
好,2,11641
罪,2,11641
宮,2,11641
宗,2,11641
戚,4,23283
權,2,11641
雄,2,11641
當,12,69849
聞,8,46566
