Character, Abs. Freq., Rel. Freq.
中,2,15723
揵,18,141509
謀,12,94340
陽,4,31447
《,4,31447
順,4,31447
類,2,15723
樂,2,15723
疑,2,15723
開,2,15723
立,4,31447
遠,4,31447
止,2,15723
近,4,31447
隱,2,15723
計,6,47170
通,2,15723
時,8,62893
揣,4,31447
財,2,15723
蚨,2,15723
義,2,15723
相,4,31447
術,2,15723
損,2,15723
就,10,78616
說,12,94340
施,4,31447
詳,2,15723
地,2,15723
為,10,78616
日,4,31447
貨,2,15723
度,2,15723
數,2,15723
審,2,15723
迎,2,15723
策,6,47170
德,8,62893
轉,2,15723
遙,4,31447
行,2,15723
間,2,15723
萬,2,15723
變,8,62893
功,2,15723
入,10,78616
產,2,15723
危,2,15723
命,2,15723
欲,24,188679
當,2,15723
聞,4,31447
禮,2,15723
》,4,31447
君,2,15723
方,2,15723
因,4,31447
用,12,94340
宜,2,15723
留,2,15723
制,2,15723
寤,2,15723
上,4,31447
混,2,15723
切,2,15723
暗,2,15723
御,8,62893
朕,2,15723
自,4,31447
化,4,31447
聲,4,31447
無,6,47170
益,2,15723
名,2,15723
從,4,31447
獨,4,31447
素,2,15723
；,22,172956
便,2,15723
意,4,31447
失,4,31447
建,2,15723
思,10,78616
進,6,47170
善,2,15723
黨,2,15723
結,12,94340
色,2,15723
物,2,15723
知,10,78616
忠,2,15723
務,4,31447
辭,4,31447
親,10,78616
母,2,15723
牧,2,15723
儀,2,15723
往,6,47170
合,22,172956
業,2,15723
己,2,15723
本,2,15723
：,4,31447
鬼,2,15723
來,14,110063
民,2,15723
退,2,15723
明,4,31447
環,2,15723
內,16,125786
人,6,47170
詩,2,15723
應,4,31447
前,2,15723
治,4,31447
亂,2,15723
勢,2,15723
道,6,47170
言,6,47170
慮,2,15723
天,2,15723
循,2,15723
飛,2,15723
事,20,157233
陰,8,62893
見,10,78616
書,2,15723
否,2,15723
疏,10,78616
神,2,15723
使,2,15723
外,6,47170
臣,2,15723
仁,2,15723
友,2,15723
論,2,15723
聖,4,31447
待,2,15723
志,6,47170
決,4,31447
議,2,15723
采,2,15723
大,2,15723
反,6,47170
信,2,15723
管,2,15723
情,4,31447
逆,2,15723
非,2,15723
求,12,94340
