Character, Abs. Freq., Rel. Freq.
斂,2,14205
情,14,99432
自,4,28409
應,4,28409
因,8,56818
人,22,156250
聞,2,14205
生,2,14205
居,2,14205
猶,2,14205
會,2,14205
多,2,14205
往,4,28409
雄,2,14205
形,12,85227
牧,14,99432
張,6,42614
聲,6,42614
象,16,113636
右,2,14205
目,2,14205
定,10,71023
相,4,28409
高,2,14205
鬼,2,14205
網,4,28409
光,2,14205
天,2,14205
變,8,56818
己,12,85227
詐,2,14205
平,2,14205
作,2,14205
誘,2,14205
矢,2,14205
審,8,56818
疾,2,14205
開,2,14205
理,4,28409
退,2,14205
影,2,14205
知,20,142045
失,8,56818
俱,2,14205
歸,2,14205
真,2,14205
善,2,14205
重,2,14205
古,6,42614
左,2,14205
磁,2,14205
異,2,14205
神,4,28409
疑,2,14205
明,4,28409
進,2,14205
察,6,42614
策,2,14205
無,8,56818
動,8,56818
今,4,28409
；,32,227273
辭,12,85227
怒,2,14205
驅,2,14205
蟠,2,14205
呼,2,14205
語,2,14205
正,2,14205
式,2,14205
覆,14,99432
非,2,14205
陽,4,28409
入,2,14205
石,2,14205
萬,4,28409
骨,2,14205
釣,4,28409
求,8,56818
法,2,14205
類,2,14205
聽,10,71023
鍼,2,14205
見,16,113636
上,2,14205
還,2,14205
雌,2,14205
聖,4,28409
蛇,2,14205
方,6,42614
觀,6,42614
指,2,14205
舌,2,14205
螣,2,14205
量,2,14205
愚,2,14205
託,2,14205
微,4,28409
忘,2,14205
陰,4,28409
實,6,42614
同,8,56818
內,2,14205
隨,2,14205
司,2,14205
當,2,14205
驗,2,14205
智,2,14205
羿,2,14205
報,2,14205
論,2,14205
罝,2,14205
射,2,14205
言,16,113636
來,4,28409
靜,6,42614
比,18,127841
大,2,14205
別,2,14205
門,2,14205
喜,2,14205
魚,2,14205
符,2,14205
意,4,28409
持,2,14205
基,4,28409
道,6,42614
容,2,14205
合,8,56818
引,2,14205
巧,2,14205
探,2,14205
常,2,14205
為,4,28409
襲,2,14205
心,2,14205
默,6,42614
用,4,28409
獸,2,14205
反,30,213068
化,2,14205
虛,2,14205
偽,2,14205
圓,6,42614
事,24,170455
欲,12,85227
物,2,14205
