Character, Abs. Freq., Rel. Freq.
威,4,93458
適,2,46729
止,2,46729
煩,2,46729
智,2,46729
見,2,46729
分,2,46729
道,2,46729
谿,2,46729
益,2,46729
損,10,233645
水,2,46729
事,4,93458
行,6,140187
功,2,46729
辭,8,186916
察,4,93458
謀,2,46729
散,2,46729
德,2,46729
轉,2,46729
心,2,46729
方,2,46729
動,2,46729
仞,4,93458
用,2,46729
失,2,46729
志,2,46729
危,6,140187
亂,2,46729
大,2,46729
勢,4,93458
石,2,46729
邪,2,46729
當,2,46729
人,6,140187
虛,2,46729
知,2,46729
善,2,46729
因,2,46729
譬,2,46729
機,6,140187
無,2,46729
萬,2,46729
為,12,280374
言,6,140187
易,2,46729
意,2,46729
千,2,46729
物,4,93458
自,2,46729
形,2,46729
兌,10,233645
敗,2,46729
圓,4,93458
待,2,46729
成,2,46729
；,4,93458
決,6,140187
合,2,46729
難,2,46729
權,2,46729
堤,2,46729
聖,4,93458
實,2,46729
