Character, Abs. Freq., Rel. Freq.
意,6,181818
知,2,60606
敗,2,60606
盡,2,60606
勢,14,424242
為,2,60606
心,2,60606
虛,4,121212
事,2,60606
利,2,60606
隨,2,60606
無,2,60606
待,2,60606
精,4,121212
肅,4,121212
短,2,60606
使,2,60606
盛,2,60606
方,2,60606
察,2,60606
長,2,60606
謀,2,60606
衰,2,60606
揣,2,60606
失,4,121212
散,10,303030
圖,2,60606
善,2,60606
動,10,303030
言,2,60606
行,2,60606
度,2,60606
專,2,60606
志,6,181818
循,2,60606
；,2,60606
神,6,181818
威,6,181818
數,2,60606
間,8,242424
害,2,60606
推,2,60606
決,2,60606
分,4,121212
圓,2,60606
權,2,60606
計,2,60606
氣,2,60606
視,2,60606
觀,2,60606
說,2,60606
齊,2,60606
外,4,121212
溢,2,60606
變,4,121212
內,4,121212
多,2,60606
用,2,60606
實,4,121212
思,2,60606
