Character, Abs. Freq., Rel. Freq.
志,36,633803
己,4,70423
明,4,70423
；,14,246479
胸,2,35211
思,12,211268
將,2,35211
對,4,70423
人,8,140845
使,2,35211
參,2,35211
散,4,70423
威,2,35211
分,6,105634
徨,4,70423
常,2,35211
多,2,35211
察,2,35211
盛,2,35211
神,6,105634
內,2,35211
喪,4,70423
亂,2,35211
養,14,246479
彿,4,70423
務,2,35211
中,2,35211
欲,12,211268
虛,4,70423
氣,22,387324
衰,10,176056
一,4,70423
安,6,105634
實,8,140845
心,18,316901
會,2,35211
煩,2,35211
勢,2,35211
用,2,35211
意,12,211268
堅,4,70423
慮,4,70423
彷,4,70423
知,10,176056
猛,4,70423
失,4,70423
應,4,70423
固,6,105634
達,12,211268
和,4,70423
守,2,35211
通,6,105634
理,4,70423
職,2,35211
存,2,35211
外,2,35211
