Character, Abs. Freq., Rel. Freq.
貨,2,20121
幣,2,20121
恭,2,20121
行,2,20121
解,2,20121
占,2,20121
問,2,20121
鼓,2,20121
分,2,20121
主,6,60362
妄,2,20121
慎,2,20121
使,4,40241
東,2,20121
」,6,60362
道,2,20121
法,4,40241
決,2,20121
敵,2,20121
閉,2,20121
殷,2,20121
從,2,20121
殺,2,20121
帛,2,20121
見,2,20121
素,2,20121
滅,2,20121
狹,2,20121
亡,10,100604
月,2,20121
楚,2,20121
近,2,20121
因,6,60362
臣,2,20121
韓,2,20121
合,4,40241
盡,4,40241
忻,2,20121
霸,2,20121
百,4,40241
破,6,60362
爵,2,20121
戰,12,120724
聖,4,40241
千,2,20121
釋,2,20121
善,12,120724
吳,4,40241
握,2,20121
微,2,20121
觀,2,20121
變,2,20121
！,2,20121
兵,6,60362
愛,2,20121
刃,2,20121
意,2,20121
德,2,20121
爭,2,20121
王,4,40241
憍,2,20121
武,6,60362
氏,2,20121
弱,4,40241
喜,4,40241
勝,12,120724
怒,2,20121
旗,2,20121
熒,2,20121
詭,2,20121
耳,2,20121
金,2,20121
尸,2,20121
血,2,20121
福,2,20121
無,12,120724
君,4,40241
傳,2,20121
上,2,20121
靈,4,40241
「,6,60362
類,2,20121
昭,2,20121
計,6,60362
慨,2,20121
克,6,60362
攻,2,20121
世,2,20121
希,8,80483
陳,4,40241
湯,2,20121
繁,2,20121
歎,2,20121
獨,4,40241
襄,2,20121
貴,2,20121
大,6,60362
萬,4,40241
復,2,20121
飛,2,20121
用,18,181087
手,2,20121
財,2,20121
句,2,20121
經,2,20121
廣,2,20121
生,2,20121
進,2,20121
強,4,40241
：,8,80483
枋,2,20121
嗜,2,20121
自,6,60362
惑,2,20121
煥,4,40241
為,2,20121
語,2,20121
口,2,20121
寡,4,40241
恣,2,20121
乘,2,20121
數,2,20121
每,2,20121
民,2,20121
少,2,20121
日,2,20121
存,2,20121
蔡,2,20121
賞,2,20121
色,2,20121
非,6,60362
小,6,60362
僵,2,20121
今,4,40241
內,2,20121
聞,8,80483
鬥,2,20121
舉,2,20121
智,2,20121
勞,2,20121
踐,2,20121
越,2,20121
願,2,20121
人,20,201207
旌,2,20121
哆,2,20121
夏,2,20121
淫,2,20121
際,2,20121
聲,2,20121
龐,4,40241
功,6,60362
思,2,20121
結,2,20121
里,2,20121
更,2,20121
謀,4,40241
高,2,20121
龜,2,20121
事,4,40241
夜,2,20121
命,2,20121
罪,2,20121
身,2,20121
義,2,20121
昔,4,40241
忠,2,20121
俗,2,20121
陰,2,20121
周,2,20121
家,2,20121
國,8,80483
離,2,20121
天,2,20121
流,4,40241
要,2,20121
目,2,20121
言,4,40241
工,2,20121
路,2,20121
