Character, Abs. Freq., Rel. Freq.
通,2,25641
隱,2,25641
當,2,25641
險,2,25641
難,4,51282
力,2,25641
為,14,179487
合,2,25641
安,4,51282
蠻,2,25641
賢,6,76923
亂,8,102564
希,4,51282
更,2,25641
定,4,51282
造,2,25641
道,6,76923
夷,2,25641
從,2,25641
乖,2,25641
敢,10,128205
稽,2,25641
世,10,128205
異,2,25641
心,6,76923
據,2,25641
苦,2,25641
利,4,51282
德,4,51282
人,10,128205
無,16,205128
多,2,25641
說,4,51282
業,2,25641
運,2,25641
相,8,102564
禮,6,76923
治,2,25641
告,4,51282
直,4,51282
獸,2,25641
發,2,25641
動,2,25641
觀,2,25641
賓,2,25641
意,2,25641
悖,2,25641
嗜,2,25641
舍,2,25641
絕,2,25641
格,2,25641
非,4,51282
禽,2,25641
諱,2,25641
誇,2,25641
命,2,25641
君,8,102564
畏,2,25641
處,2,25641
信,4,51282
語,2,25641
情,12,153846
同,8,102564
潛,2,25641
號,2,25641
苟,2,25641
事,2,25641
驕,2,25641
辭,2,25641
置,2,25641
倚,2,25641
時,2,25641
徑,2,25641
名,2,25641
誣,2,25641
館,2,25641
生,4,51282
易,2,25641
辨,2,25641
勿,2,25641
義,8,102564
隨,2,25641
譽,2,25641
實,2,25641
惡,4,51282
言,6,76923
欲,4,51282
見,2,25641
聞,2,25641
類,2,25641
民,2,25641
反,2,25641
堯,2,25641
主,2,25641
位,2,25641
；,2,25641
要,2,25641
趨,2,25641
體,2,25641
耑,2,25641
豫,2,25641
卻,2,25641
中,2,25641
士,2,25641
仁,2,25641
狎,2,25641
禍,2,25641
親,4,51282
節,2,25641
端,2,25641
誠,2,25641
憎,2,25641
暴,2,25641
文,2,25641
行,4,51282
善,2,25641
平,2,25641
野,2,25641
智,2,25641
慎,2,25641
上,2,25641
繆,2,25641
麤,2,25641
作,2,25641
