Character, Abs. Freq., Rel. Freq.
枲,2,11905
為,4,23810
破,2,11905
成,10,59524
北,2,11905
奴,2,11905
貴,2,11905
事,12,71429
「,10,59524
色,2,11905
君,2,11905
伯,2,11905
論,6,35714
困,2,11905
益,4,23810
往,2,11905
責,2,11905
抱,2,11905
竹,2,11905
嘉,2,11905
平,2,11905
司,12,71429
決,2,11905
口,4,23810
生,6,35714
『,2,11905
舉,12,71429
貌,2,11905
刺,2,11905
牛,2,11905
授,2,11905
服,4,23810
聽,6,35714
舊,4,23810
膝,2,11905
匡,2,11905
儒,2,11905
官,2,11905
傾,2,11905
乘,2,11905
庶,2,11905
詔,2,11905
隋,2,11905
茸,2,11905
幾,2,11905
稱,6,35714
梏,6,35714
喻,2,11905
御,4,23810
利,12,71429
』,2,11905
知,4,23810
鴠,2,11905
前,2,11905
舍,4,23810
門,2,11905
厲,2,11905
：,12,71429
行,12,71429
枯,2,11905
逐,2,11905
守,2,11905
馬,6,35714
國,2,11905
踧,2,11905
明,8,47619
盜,2,11905
闒,2,11905
財,4,23810
晏,2,11905
尼,2,11905
調,2,11905
臧,2,11905
賢,8,47619
宜,4,23810
踰,2,11905
造,6,35714
？,8,47619
裏,2,11905
竊,12,71429
退,2,11905
指,2,11905
太,2,11905
渭,2,11905
復,2,11905
眉,2,11905
才,6,35714
桎,6,35714
容,2,11905
夜,2,11905
舌,8,47619
圖,2,11905
管,2,11905
卿,4,23810
末,2,11905
舜,2,11905
作,2,11905
治,6,35714
斥,2,11905
高,2,11905
對,2,11905
患,2,11905
主,10,59524
云,4,23810
小,2,11905
嘻,2,11905
孔,4,23810
萬,6,35714
勞,2,11905
要,2,11905
武,2,11905
癢,2,11905
念,2,11905
計,4,23810
副,2,11905
背,2,11905
自,10,59524
籌,2,11905
中,2,11905
鼓,2,11905
真,2,11905
禹,2,11905
情,2,11905
趨,2,11905
欲,8,47619
寇,2,11905
秦,2,11905
燔,2,11905
端,2,11905
方,2,11905
德,2,11905
表,2,11905
誦,2,11905
禮,4,23810
心,4,23810
忽,2,11905
毛,2,11905
悖,2,11905
車,4,23810
殺,4,23810
俊,2,11905
見,2,11905
延,4,23810
桓,2,11905
亶,2,11905
卑,2,11905
境,2,11905
文,20,119048
同,2,11905
！,2,11905
內,4,23810
策,8,47619
古,4,23810
及,2,11905
良,8,47619
亂,6,35714
志,2,11905
躬,2,11905
闇,2,11905
肖,2,11905
易,2,11905
风,4,23810
用,10,59524
鞠,2,11905
沮,2,11905
時,6,35714
今,4,23810
術,6,35714
譏,2,11905
非,10,59524
將,2,11905
辯,2,11905
勝,2,11905
惠,2,11905
虛,2,11905
柳,2,11905
使,12,71429
功,2,11905
豈,2,11905
路,2,11905
士,10,59524
鶡,2,11905
失,2,11905
實,2,11905
執,2,11905
轡,2,11905
言,22,130952
習,2,11905
學,18,107143
首,2,11905
預,2,11905
詳,4,23810
騶,2,11905
；,12,71429
超,2,11905
品,2,11905
安,6,35714
當,2,11905
仲,2,11905
辭,2,11905
公,12,71429
父,12,71429
殊,4,23810
衣,2,11905
難,2,11905
多,10,59524
匈,2,11905
踖,2,11905
疾,2,11905
坑,2,11905
觀,2,11905
異,4,23810
思,2,11905
宇,2,11905
歸,2,11905
崇,2,11905
里,2,11905
盡,2,11905
遠,2,11905
無,16,95238
驥,6,35714
識,2,11905
駑,2,11905
賜,2,11905
帶,2,11905
王,2,11905
鳴,4,23810
大,6,35714
訟,2,11905
朕,2,11905
祿,2,11905
季,2,11905
猶,2,11905
憂,2,11905
牽,2,11905
聞,2,11905
人,4,23810
扼,2,11905
伐,2,11905
間,2,11905
義,2,11905
鹽,2,11905
議,10,59524
商,2,11905
千,2,11905
湯,2,11905
申,2,11905
迂,2,11905
諸,6,35714
攝,4,23810
空,2,11905
魯,2,11905
穿,2,11905
民,2,11905
變,2,11905
吳,2,11905
善,4,23810
冊,2,11905
熾,2,11905
博,4,23810
周,8,47619
道,6,35714
慮,2,11905
奇,2,11905
鴟,2,11905
依,2,11905
裒,2,11905
樂,2,11905
鐸,2,11905
即,2,11905
遷,2,11905
豪,2,11905
邊,4,23810
相,10,59524
」,10,59524
顏,2,11905
世,8,47619
死,2,11905
家,2,11905
荏,2,11905
政,4,23810
丘,2,11905
耳,2,11905
偃,4,23810
昏,2,11905
曾,2,11905
位,2,11905
搔,2,11905
第,2,11905
