Character, Abs. Freq., Rel. Freq.
枉,2,22124
鳴,2,22124
人,6,66372
具,2,22124
讓,2,22124
終,2,22124
受,2,22124
龍,4,44248
今,2,22124
孤,2,22124
流,2,22124
：,12,132743
史,8,88496
味,2,22124
執,2,22124
士,8,88496
聞,4,44248
殊,2,22124
菜,2,22124
章,2,22124
土,2,22124
「,4,44248
僕,4,44248
』,6,66372
敏,2,22124
使,4,44248
似,4,44248
桀,4,44248
經,2,22124
對,2,22124
辭,2,22124
聽,2,22124
響,2,22124
距,2,22124
佞,2,22124
攻,2,22124
家,2,22124
害,2,22124
《,2,22124
句,2,22124
善,2,22124
心,2,22124
云,2,22124
小,2,22124
異,2,22124
守,2,22124
」,4,44248
上,6,66372
從,6,66372
負,2,22124
大,4,44248
儒,10,110619
詩,2,22124
指,2,22124
列,2,22124
鼓,2,22124
石,2,22124
孰,2,22124
薪,2,22124
謀,2,22124
相,8,88496
陵,2,22124
邪,4,44248
傾,2,22124
崇,2,22124
面,2,22124
徑,2,22124
形,2,22124
多,4,44248
己,2,22124
博,2,22124
智,2,22124
首,2,22124
策,2,22124
舉,2,22124
塗,2,22124
苟,2,22124
為,10,110619
身,2,22124
衣,6,66372
君,6,66372
氏,4,44248
業,2,22124
山,2,22124
書,2,22124
吾,6,66372
影,2,22124
諫,2,22124
譬,2,22124
斂,2,22124
類,2,22124
耳,2,22124
微,2,22124
名,2,22124
附,2,22124
臣,4,44248
行,4,44248
益,2,22124
文,10,110619
功,2,22124
風,6,66372
默,2,22124
玉,2,22124
徒,2,22124
隨,2,22124
爭,2,22124
？,6,66372
布,2,22124
嘗,2,22124
冠,4,44248
失,4,44248
諸,2,22124
直,2,22124
議,2,22124
輔,4,44248
道,6,66372
非,14,154867
成,2,22124
專,2,22124
芻,2,22124
『,8,88496
正,6,66372
無,10,110619
咺,2,22124
丞,6,66372
處,2,22124
；,2,22124
說,2,22124
廣,2,22124
載,2,22124
齊,2,22124
導,2,22124
葶,2,22124
及,4,44248
椒,2,22124
蕘,2,22124
公,4,44248
冉,2,22124
曲,2,22124
況,2,22124
跬,2,22124
聲,2,22124
言,10,110619
順,2,22124
宰,6,66372
攝,2,22124
卿,4,44248
塞,2,22124
忠,6,66372
知,2,22124
見,2,22124
頓,2,22124
容,2,22124
歷,2,22124
目,2,22124
納,2,22124
春,2,22124
怫,2,22124
詢,2,22124
季,2,22124
匡,2,22124
學,6,66372
秋,2,22124
》,2,22124
孔,8,88496
仁,2,22124
