Character, Abs. Freq., Rel. Freq.
虞,4,5718
隱,4,5718
改,2,2859
鳥,2,2859
篤,2,2859
祭,20,28588
珠,2,2859
賣,2,2859
奴,6,8576
肉,20,28588
命,4,5718
餐,2,2859
蒲,8,11435
追,2,2859
鷇,4,5718
析,2,2859
鵝,2,2859
間,8,11435
拱,2,2859
眉,2,2859
平,4,5718
經,2,2859
思,10,14294
祖,2,2859
賈,4,5718
任,4,5718
虛,4,5718
坐,8,11435
儲,2,2859
藺,2,2859
雕,6,8576
饗,2,2859
象,2,2859
妾,6,8576
物,12,17153
補,2,2859
際,2,2859
御,4,5718
幸,6,8576
髮,2,2859
醬,2,2859
冬,4,5718
鹿,2,2859
貂,2,2859
記,4,5718
畫,8,11435
時,14,20011
誠,2,2859
唐,2,2859
數,14,20011
一,24,34305
偶,4,5718
聽,2,2859
非,14,20011
羊,6,8576
皇,2,2859
后,4,5718
伏,2,2859
樹,6,8576
蟲,6,8576
通,4,5718
蠹,16,22870
建,2,2859
食,44,62893
襆,2,2859
復,2,2859
褻,2,2859
地,4,5718
欲,4,5718
礱,2,2859
翟,2,2859
養,8,11435
袍,4,5718
糠,2,2859
春,6,8576
伯,2,2859
收,6,8576
膢,4,5718
怪,4,5718
瑟,6,8576
仁,6,8576
石,2,2859
采,14,20011
蘧,2,2859
夷,4,5718
農,2,2859
權,2,2859
家,6,8576
茵,4,5718
兒,2,2859
蒢,2,2859
奪,2,2859
系,2,2859
哀,4,5718
雜,8,11435
螇,2,2859
羽,2,2859
殽,4,5718
櫓,2,2859
旁,4,5718
棱,2,2859
姪,2,2859
鄰,2,2859
斤,2,2859
韜,2,2859
干,2,2859
傚,2,2859
俎,2,2859
誅,2,2859
廬,2,2859
楯,2,2859
適,2,2859
譽,2,2859
脆,2,2859
年,8,11435
馬,22,31447
庫,2,2859
怠,8,11435
貌,2,2859
像,2,2859
盤,2,2859
愈,2,2859
彌,2,2859
軨,6,8576
富,38,54317
中,44,62893
仍,2,2859
晨,6,8576
張,2,2859
斗,4,5718
栖,4,5718
絕,2,2859
苗,2,2859
遍,2,2859
讀,2,2859
靳,2,2859
敬,6,8576
柔,6,8576
刻,2,2859
嶽,4,5718
苙,2,2859
謝,2,2859
狐,4,5718
舊,2,2859
椱,2,2859
綦,4,5718
立,6,8576
閤,2,2859
廣,2,2859
止,2,2859
陶,4,5718
徼,2,2859
犁,2,2859
妃,4,5718
上,6,8576
夙,2,2859
矾,2,2859
服,14,20011
色,6,8576
舞,6,8576
桅,2,2859
草,8,11435
曠,2,2859
陳,2,2859
連,8,11435
錯,6,8576
路,2,2859
控,2,2859
穀,6,8576
爭,2,2859
孜,4,5718
惻,2,2859
就,6,8576
切,2,2859
嘗,2,2859
燕,4,5718
耕,6,8576
綰,2,2859
菲,2,2859
植,2,2859
賤,6,8576
言,8,11435
君,14,20011
仞,2,2859
銻,2,2859
玄,2,2859
門,4,5718
辟,2,2859
織,2,2859
調,2,2859
枹,2,2859
娶,2,2859
械,6,8576
捕,6,8576
藿,2,2859
貲,2,2859
昭,2,2859
栘,2,2859
等,4,5718
蒯,2,2859
巷,6,8576
丁,4,5718
幅,2,2859
社,2,2859
倈,2,2859
齊,2,2859
竽,2,2859
老,4,5718
阡,2,2859
尊,4,5718
勞,6,8576
豎,2,2859
繩,2,2859
拊,2,2859
羡,2,2859
慮,2,2859
荒,2,2859
鱉,4,5718
削,2,2859
肩,2,2859
虾,2,2859
亡,4,5718
杯,8,11435
樽,2,2859
輪,4,5718
席,2,2859
藜,2,2859
匿,4,5718
官,10,14294
宣,2,2859
健,2,2859
著,2,2859
樂,2,2859
鶉,2,2859
塊,2,2859
鬼,2,2859
葦,2,2859
卜,2,2859
吾,2,2859
縱,2,2859
丞,4,5718
心,12,17153
茨,4,5718
產,2,2859
鞍,2,2859
環,2,2859
曹,2,2859
牧,2,2859
炙,4,5718
暴,2,2859
費,2,2859
天,16,22870
帝,4,5718
！,2,2859
蓋,12,17153
成,22,31447
箏,2,2859
夏,6,8576
素,8,11435
頗,2,2859
樺,2,2859
桐,6,8576
貧,6,8576
史,2,2859
筲,2,2859
遑,4,5718
弄,2,2859
節,6,8576
常,4,5718
訑,2,2859
完,2,2859
衍,2,2859
遨,2,2859
耽,2,2859
聞,2,2859
閒,2,2859
口,12,17153
枲,4,5718
蒻,2,2859
日,8,11435
褐,2,2859
笄,2,2859
墳,2,2859
捭,2,2859
挏,2,2859
親,6,8576
女,8,11435
繁,4,5718
凶,2,2859
繇,2,2859
山,4,5718
街,2,2859
軿,2,2859
梁,4,5718
鳴,4,5718
危,4,5718
賜,2,2859
貳,2,2859
蹇,2,2859
棬,2,2859
效,2,2859
雨,2,2859
示,2,2859
容,4,5718
罽,4,5718
羹,4,5718
盈,2,2859
市,14,20011
禦,2,2859
跗,2,2859
吹,2,2859
加,8,11435
堂,4,5718
鷃,2,2859
結,2,2859
耘,6,8576
巡,2,2859
方,2,2859
府,2,2859
蠢,2,2859
胎,2,2859
耋,2,2859
南,2,2859
臘,6,8576
宇,2,2859
糲,2,2859
祥,2,2859
離,2,2859
輕,4,5718
祀,8,11435
膾,4,5718
醢,4,5718
內,2,2859
鶵,2,2859
琅,2,2859
幾,2,2859
鑣,4,5718
當,10,14294
銅,2,2859
躬,2,2859
