Character, Abs. Freq., Rel. Freq.
一,2,21692
璵,2,21692
及,2,21692
臣,10,108460
文,8,86768
口,2,21692
傳,2,21692
議,2,21692
？,4,43384
叛,2,21692
荊,2,21692
論,2,21692
『,2,21692
輕,2,21692
奪,2,21692
曾,2,21692
謝,2,21692
道,2,21692
；,2,21692
因,4,43384
遊,2,21692
刑,2,21692
用,4,43384
楊,2,21692
主,2,21692
止,2,21692
容,2,21692
晉,2,21692
告,2,21692
間,2,21692
貌,2,21692
為,8,86768
舉,4,43384
天,2,21692
猶,2,21692
均,2,21692
重,6,65076
山,4,43384
盜,6,65076
大,4,43384
集,2,21692
諸,8,86768
書,2,21692
錯,4,43384
權,2,21692
賤,2,21692
將,4,43384
慰,2,21692
逆,2,21692
篇,2,21692
斬,2,21692
薄,2,21692
親,4,43384
勝,2,21692
著,2,21692
外,2,21692
江,2,21692
迫,2,21692
室,2,21692
法,4,43384
骨,2,21692
春,4,43384
誅,10,108460
秦,2,21692
咸,2,21692
衡,2,21692
棄,4,43384
誦,2,21692
漢,2,21692
寶,2,21692
市,2,21692
各,2,21692
弒,4,43384
地,2,21692
從,2,21692
制,2,21692
儒,2,21692
稽,2,21692
海,2,21692
蹙,2,21692
淮,4,43384
生,4,43384
名,2,21692
違,2,21692
富,2,21692
宗,4,43384
流,2,21692
惡,4,43384
附,2,21692
」,4,43384
鄭,2,21692
死,2,21692
秋,4,43384
解,2,21692
墨,2,21692
飲,2,21692
入,2,21692
況,2,21692
慮,2,21692
士,6,65076
削,4,43384
急,2,21692
人,4,43384
變,2,21692
鯀,2,21692
域,2,21692
璞,2,21692
兼,4,43384
侯,8,86768
泉,2,21692
方,2,21692
東,6,65076
寡,2,21692
母,2,21692
璠,2,21692
聚,2,21692
易,2,21692
軍,2,21692
飾,2,21692
罪,8,86768
舜,2,21692
哀,2,21692
怨,4,43384
厚,2,21692
絕,2,21692
高,2,21692
誰,2,21692
謀,2,21692
君,8,86768
楚,4,43384
犯,2,21692
孔,4,43384
講,2,21692
日,2,21692
斯,2,21692
南,2,21692
「,4,43384
學,4,43384
陳,2,21692
沐,2,21692
行,2,21692
浴,2,21692
分,2,21692
卒,2,21692
』,2,21692
奢,2,21692
禹,2,21692
義,4,43384
常,2,21692
乘,2,21692
族,2,21692
積,2,21692
：,6,65076
數,2,21692
萬,2,21692
蕃,2,21692
弦,2,21692
使,4,43384
誕,2,21692
信,4,43384
合,2,21692
會,2,21692
肉,2,21692
度,2,21692
內,2,21692
修,2,21692
閭,2,21692
晁,6,65076
驕,2,21692
父,2,21692
忠,2,21692
吳,4,43384
侵,2,21692
馬,2,21692
即,2,21692
殺,4,43384
貴,2,21692
亂,2,21692
世,2,21692
無,6,65076
實,2,21692
美,2,21692
固,2,21692
背,2,21692
玼,2,21692
國,2,21692
讎,2,21692
招,2,21692
言,2,21692
公,2,21692
朝,2,21692
