Character, Abs. Freq., Rel. Freq.
美,2,8319
樂,4,16639
飛,2,8319
餌,4,16639
消,2,8319
書,2,8319
惠,2,8319
趨,2,8319
受,2,8319
論,2,8319
觀,4,16639
名,8,33278
怒,2,8319
賂,2,8319
瞻,2,8319
人,2,8319
安,2,8319
馬,2,8319
雙,2,8319
自,8,33278
主,6,24958
兵,4,16639
卑,2,8319
私,4,16639
從,2,8319
縉,2,8319
入,2,8319
柳,2,8319
立,4,16639
勝,2,8319
父,4,16639
徒,2,8319
秣,2,8319
咽,2,8319
偃,2,8319
隨,2,8319
衰,2,8319
罪,6,24958
禮,6,24958
廉,8,33278
輓,2,8319
矯,2,8319
匹,4,16639
勇,2,8319
誅,2,8319
孔,10,41597
紿,2,8319
矜,2,8319
石,2,8319
口,4,16639
司,2,8319
進,4,16639
皦,2,8319
貞,2,8319
敵,2,8319
滿,2,8319
遜,2,8319
尚,2,8319
暇,2,8319
當,6,24958
身,4,16639
舌,2,8319
回,2,8319
釋,4,16639
威,2,8319
況,2,8319
覽,2,8319
信,2,8319
體,4,16639
污,2,8319
罰,2,8319
甲,2,8319
走,2,8319
為,46,191348
伯,4,16639
小,6,24958
官,2,8319
『,4,16639
深,8,33278
術,2,8319
諸,8,33278
蠶,2,8319
伐,2,8319
溝,2,8319
卷,2,8319
舜,2,8319
說,2,8319
死,10,41597
恤,4,16639
雞,4,16639
肆,2,8319
謀,2,8319
彌,4,16639
鵲,2,8319
聞,2,8319
秦,12,49917
俱,2,8319
公,4,16639
賊,2,8319
憤,2,8319
祿,6,24958
牢,2,8319
言,10,41597
宗,2,8319
牙,2,8319
孟,2,8319
尊,2,8319
交,4,16639
列,2,8319
侔,2,8319
窮,2,8319
今,6,24958
任,2,8319
滋,4,16639
干,2,8319
桓,2,8319
袁,2,8319
請,2,8319
戍,2,8319
獄,2,8319
綰,2,8319
奮,4,16639
服,4,16639
凶,2,8319
吾,2,8319
百,4,16639
徐,2,8319
履,2,8319
夷,4,16639
固,2,8319
駟,2,8319
酒,2,8319
布,2,8319
奔,4,16639
萬,2,8319
舍,2,8319
藏,4,16639
首,4,16639
懼,2,8319
耳,2,8319
顯,2,8319
質,2,8319
親,2,8319
均,2,8319
上,2,8319
行,20,83195
豆,4,16639
節,2,8319
儀,4,16639
惡,2,8319
室,4,16639
困,2,8319
國,10,41597
相,6,24958
生,4,16639
學,10,41597
囂,4,16639
虎,4,16639
餘,4,16639
茲,2,8319
滅,2,8319
委,2,8319
位,12,49917
全,2,8319
