Character, Abs. Freq., Rel. Freq.
胡,2,7918
職,2,7918
路,2,7918
衛,6,23753
宣,4,15835
湯,4,15835
惡,2,7918
烈,2,7918
乘,2,7918
穆,2,7918
削,2,7918
仁,4,15835
駢,2,7918
黎,2,7918
分,2,7918
烹,2,7918
直,2,7918
徒,2,7918
氏,4,15835
窮,2,7918
生,4,15835
軻,4,15835
政,2,7918
趨,2,7918
臣,10,39588
叔,2,7918
聖,8,31671
伐,2,7918
乏,2,7918
賢,4,15835
車,2,7918
禮,6,23753
枉,6,23753
男,4,15835
稷,2,7918
合,6,23753
功,6,23753
摧,2,7918
千,8,31671
溺,2,7918
對,2,7918
并,2,7918
侯,8,31671
庶,2,7918
辭,2,7918
駟,2,7918
歲,2,7918
周,6,23753
拘,2,7918
彊,6,23753
！,2,7918
尾,2,7918
堪,2,7918
軺,2,7918
損,2,7918
素,2,7918
長,2,7918
舊,2,7918
勝,2,7918
嬖,2,7918
平,2,7918
弱,2,7918
強,2,7918
弘,2,7918
小,2,7918
滋,2,7918
改,2,7918
」,14,55424
延,2,7918
姓,4,15835
晚,2,7918
負,2,7918
容,6,23753
當,4,15835
吳,2,7918
齊,8,31671
辱,2,7918
武,2,7918
譎,2,7918
御,8,31671
受,4,15835
論,6,23753
：,22,87094
北,2,7918
洪,2,7918
瑕,4,15835
民,8,31671
德,8,31671
攻,2,7918
親,4,15835
圓,2,7918
季,2,7918
終,4,15835
賓,2,7918
闔,2,7918
革,2,7918
形,2,7918
秉,2,7918
壑,2,7918
因,4,15835
冉,2,7918
冥,4,15835
義,10,39588
無,18,71259
威,4,15835
公,10,39588
良,4,15835
寧,4,15835
躄,2,7918
亂,2,7918
尹,6,23753
文,14,55424
逐,2,7918
巨,2,7918
巷,2,7918
謀,2,7918
勤,2,7918
縛,2,7918
鞭,2,7918
陵,2,7918
禹,2,7918
褒,2,7918
家,2,7918
溝,2,7918
尊,8,31671
煩,2,7918
效,6,23753
虧,2,7918
誦,2,7918
計,2,7918
弟,2,7918
食,2,7918
札,2,7918
位,2,7918
髡,2,7918
時,8,31671
貴,2,7918
眄,2,7918
調,2,7918
趣,2,7918
說,6,23753
洙,2,7918
王,18,71259
河,2,7918
富,2,7918
苞,2,7918
語,2,7918
上,8,31671
宜,2,7918
舉,2,7918
尼,2,7918
教,4,15835
霸,6,23753
水,2,7918
』,8,31671
明,4,15835
權,2,7918
敵,2,7918
伯,2,7918
管,4,15835
主,6,23753
獨,2,7918
彌,2,7918
救,4,15835
引,2,7918
禽,4,15835
述,2,7918
泗,4,15835
俎,2,7918
成,10,39588
牛,2,7918
西,2,7918
言,14,55424
參,2,7918
驅,2,7918
慎,2,7918
作,2,7918
休,2,7918
造,4,15835
塗,2,7918
身,4,15835
遁,2,7918
奮,2,7918
后,2,7918
間,4,15835
丘,2,7918
適,4,15835
隱,2,7918
朝,4,15835
一,10,39588
淮,2,7918
遠,2,7918
室,4,15835
捷,2,7918
施,2,7918
飯,2,7918
要,2,7918
濡,4,15835
；,6,23753
淄,2,7918
佞,2,7918
學,10,39588
禍,2,7918
鳳,2,7918
安,6,23753
居,6,23753
名,4,15835
恥,2,7918
女,4,15835
祭,2,7918
孔,16,63341
行,18,71259
