Character, Abs. Freq., Rel. Freq.
民,4,16287
鷹,2,8143
霧,2,8143
貴,2,8143
人,24,97720
凶,2,8143
唶,2,8143
智,2,8143
敬,2,8143
家,2,8143
戈,2,8143
合,6,24430
內,2,8143
施,10,40717
常,4,16287
靡,2,8143
我,2,8143
安,2,8143
墨,2,8143
報,4,16287
諫,2,8143
神,4,16287
柔,4,16287
魚,2,8143
輔,2,8143
逐,2,8143
堅,4,16287
殃,4,16287
弊,2,8143
盛,4,16287
兵,4,16287
罷,2,8143
身,6,24430
日,8,32573
董,2,8143
應,8,32573
禍,2,8143
惡,12,48860
養,2,8143
濩,2,8143
徵,2,8143
「,12,48860
母,4,16287
恃,2,8143
禮,2,8143
勞,2,8143
象,2,8143
霜,6,24430
使,2,8143
季,2,8143
螟,2,8143
興,2,8143
受,4,16287
孟,2,8143
零,2,8143
巳,4,16287
道,16,65147
宣,2,8143
忍,2,8143
簡,6,24430
巧,2,8143
文,12,48860
蔞,2,8143
蜻,2,8143
小,2,8143
『,12,48860
列,4,16287
獸,2,8143
破,2,8143
武,2,8143
大,6,24430
制,2,8143
履,2,8143
香,2,8143
戢,2,8143
恕,2,8143
快,2,8143
爭,2,8143
語,2,8143
言,14,57003
》,4,16287
行,22,89577
法,4,16287
祀,6,24430
海,2,8143
獮,2,8143
水,8,32573
災,2,8143
諸,2,8143
壤,2,8143
田,2,8143
審,2,8143
正,2,8143
調,2,8143
金,10,40717
咋,2,8143
無,8,32573
肆,2,8143
代,4,16287
臭,2,8143
賢,2,8143
牢,4,16287
仁,4,16287
長,10,40717
繼,2,8143
攫,2,8143
衣,2,8143
冥,2,8143
辰,2,8143
裘,2,8143
」,12,48860
弓,2,8143
麥,2,8143
本,2,8143
觀,2,8143
滅,4,16287
非,6,24430
狩,2,8143
旱,2,8143
』,12,48860
穰,4,16287
冰,2,8143
犯,2,8143
外,2,8143
刑,22,89577
同,4,16287
疑,2,8143
蒐,2,8143
異,6,24430
相,8,32573
順,2,8143
稽,2,8143
末,2,8143
敘,4,16287
螣,2,8143
申,4,16287
吞,2,8143
賤,2,8143
命,2,8143
苟,2,8143
隕,4,16287
干,2,8143
芬,2,8143
靈,2,8143
物,6,24430
前,2,8143
懿,2,8143
？,6,24430
令,6,24430
亂,6,24430
祥,4,16287
禎,2,8143
及,4,16287
福,8,32573
瀛,2,8143
淵,2,8143
夭,4,16287
易,6,24430
傷,2,8143
亡,2,8143
尚,2,8143
信,2,8143
雪,2,8143
萬,6,24430
血,2,8143
達,2,8143
鬼,2,8143
況,2,8143
推,2,8143
望,4,16287
猛,2,8143
橐,2,8143
世,2,8143
薺,2,8143
隼,2,8143
蠃,2,8143
菑,8,32573
考,2,8143
茂,2,8143
學,10,40717
春,10,40717
蓋,2,8143
書,2,8143
雹,2,8143
尊,4,16287
罪,2,8143
屈,2,8143
卿,2,8143
厭,2,8143
聖,4,16287
期,2,8143
涼,2,8143
賞,2,8143
成,16,65147
晚,2,8143
實,2,8143
載,4,16287
近,2,8143
默,2,8143
為,10,40717
上,4,16287
敖,2,8143
詩,4,16287
好,10,40717
消,2,8143
氣,2,8143
嚴,2,8143
背,2,8143
教,6,24430
墜,2,8143
符,2,8143
味,2,8143
太,2,8143
變,4,16287
火,8,32573
繩,2,8143
國,4,16287
怪,2,8143
江,2,8143
僵,2,8143
：,26,105863
明,6,24430
羿,2,8143
祝,2,8143
甲,2,8143
除,2,8143
鳴,2,8143
事,2,8143
秋,16,65147
都,2,8143
韶,2,8143
伯,2,8143
久,2,8143
貙,2,8143
光,2,8143
草,4,16287
君,4,16287
衰,2,8143
卑,2,8143
自,4,16287
網,2,8143
云,4,16287
知,6,24430
己,4,16287
今,4,16287
德,18,73290
邇,2,8143
聽,2,8143
往,2,8143
紀,2,8143
虛,2,8143
廢,2,8143
類,10,40717
向,2,8143
穀,4,16287
陰,28,114007
；,16,65147
公,2,8143
貪,2,8143
土,4,16287
迭,4,16287
時,18,73290
剛,4,16287
夏,12,48860
治,6,24430
畢,2,8143
美,4,16287
星,16,65147
微,2,8143
勤,2,8143
南,2,8143
古,4,16287
狠,2,8143
具,2,8143
猶,10,40717
戒,2,8143
休,2,8143
陽,32,130293
利,8,32573
力,2,8143
居,2,8143
寅,2,8143
絕,2,8143
功,2,8143
證,2,8143
動,2,8143
加,6,24430
序,2,8143
暴,2,8143
肩,2,8143
流,2,8143
藏,10,40717
臣,6,24430
秦,2,8143
木,8,32573
曲,2,8143
越,2,8143
生,30,122150
均,2,8143
殺,10,40717
降,6,24430
鷙,2,8143
義,4,16287
善,2,8143
父,2,8143
樂,2,8143
罰,6,24430
舟,2,8143
祭,2,8143
求,2,8143
赤,2,8143
助,2,8143
殆,2,8143
純,2,8143
廣,2,8143
禁,2,8143
死,8,32573
勝,2,8143
心,2,8143
吉,2,8143
矢,2,8143
面,2,8143
蛚,2,8143
政,2,8143
用,2,8143
器,4,16287
風,4,16287
瑞,2,8143
周,2,8143
蚌,4,16287
壽,4,16287
月,12,48860
遠,4,16287
祐,2,8143
蛤,2,8143
王,6,24430
祇,2,8143
化,4,16287
巫,2,8143
鄙,2,8143
佐,2,8143
天,32,130293
妖,4,16287
漏,2,8143
誅,2,8143
說,2,8143
冬,16,65147
各,4,16287
齊,2,8143
《,4,16287
樹,2,8143
臻,2,8143
逆,4,16287
尸,2,8143
耳,4,16287
並,2,8143
緩,2,8143
任,4,16287
