Character, Abs. Freq., Rel. Freq.
德,4,36101
稼,2,18051
相,8,72202
義,4,36101
謬,2,18051
粲,2,18051
『,2,18051
秦,2,18051
各,2,18051
務,6,54152
巨,2,18051
中,4,36101
博,4,36101
廢,2,18051
俊,2,18051
雲,2,18051
：,6,54152
智,2,18051
括,2,18051
異,2,18051
𤌘,2,18051
汝,2,18051
諸,2,18051
本,2,18051
？,2,18051
周,4,36101
闕,2,18051
唐,2,18051
處,4,36101
咸,2,18051
身,2,18051
斯,6,54152
利,10,90253
解,2,18051
算,2,18051
物,2,18051
禦,2,18051
生,6,54152
聞,2,18051
時,4,36101
親,2,18051
介,2,18051
明,2,18051
正,6,54152
近,2,18051
慮,2,18051
恧,2,18051
江,2,18051
侃,4,36101
阿,2,18051
大,2,18051
畏,2,18051
宿,2,18051
發,2,18051
仁,4,36101
豪,2,18051
久,2,18051
化,2,18051
誾,4,36101
文,4,36101
軸,2,18051
及,2,18051
客,2,18051
論,4,36101
陳,2,18051
譏,2,18051
意,6,54152
路,6,54152
』,2,18051
奮,2,18051
容,2,18051
易,2,18051
自,2,18051
略,4,36101
武,2,18051
國,4,36101
君,2,18051
反,2,18051
藝,2,18051
觀,4,36101
遠,4,36101
性,2,18051
面,2,18051
用,2,18051
良,4,36101
列,2,18051
湊,2,18051
余,2,18051
變,2,18051
辯,4,36101
祝,2,18051
說,4,36101
師,2,18051
弘,2,18051
徒,2,18051
天,2,18051
小,2,18051
庭,2,18051
當,8,72202
學,6,54152
斗,2,18051
雍,2,18051
法,2,18051
繩,2,18051
棄,2,18051
焚,2,18051
終,2,18051
術,2,18051
予,2,18051
舒,2,18051
類,2,18051
御,2,18051
準,2,18051
古,2,18051
苟,2,18051
勇,2,18051
諛,2,18051
太,2,18051
筲,2,18051
」,2,18051
憤,2,18051
復,2,18051
據,2,18051
刺,2,18051
道,10,90253
通,2,18051
士,2,18051
伯,2,18051
群,2,18051
鹽,2,18051
囊,2,18051
輔,2,18051
！,8,72202
放,2,18051
斌,4,36101
車,2,18051
劉,2,18051
同,4,36101
賢,4,36101
尚,2,18051
史,4,36101
危,2,18051
行,6,54152
富,2,18051
萬,2,18051
施,2,18051
詳,2,18051
並,2,18051
攝,2,18051
安,2,18051
撓,2,18051
桑,2,18051
朱,2,18051
原,2,18051
矯,2,18051
南,4,36101
穡,2,18051
成,4,36101
贊,2,18051
推,4,36101
議,2,18051
合,4,36101
引,2,18051
廣,4,36101
指,2,18051
宗,2,18051
吾,2,18051
宰,2,18051
霧,2,18051
魯,2,18051
倫,2,18051
切,2,18051
附,4,36101
見,2,18051
非,6,54152
魚,2,18051
強,2,18051
方,2,18051
悲,2,18051
辟,4,36101
直,4,36101
公,6,54152
餘,2,18051
備,2,18051
殊,4,36101
威,2,18051
長,6,54152
儒,2,18051
果,2,18051
即,2,18051
詞,2,18051
徼,2,18051
山,2,18051
進,2,18051
卿,8,72202
呂,2,18051
隕,2,18051
丞,4,36101
陵,2,18051
風,2,18051
人,4,36101
聚,2,18051
節,2,18051
畜,2,18051
懣,2,18051
上,4,36101
厥,2,18051
權,6,54152
茂,2,18051
末,2,18051
斷,2,18051
為,4,36101
輻,2,18051
位,4,36101
任,2,18051
平,2,18051
求,2,18051
王,2,18051
睹,2,18051
鐵,2,18051
；,2,18051
言,6,54152
知,8,72202
蔽,2,18051
世,6,54152
地,2,18051
「,4,36101
豈,2,18051
