Character, Abs. Freq., Rel. Freq.
高,6,51546
數,2,17182
中,2,17182
呼,2,17182
咸,18,154639
蔥,6,51546
分,2,17182
微,2,17182
胸,2,17182
粕,2,17182
白,4,34364
；,8,68729
盡,2,17182
栗,6,51546
地,2,17182
肉,20,171821
羊,6,51546
菜,2,17182
津,2,17182
水,2,17182
走,12,103093
犬,6,51546
米,6,51546
各,4,34364
肺,10,85911
精,4,34364
言,4,34364
傳,2,17182
豆,6,51546
果,2,17182
腎,8,68729
？,6,51546
兩,4,34364
半,2,17182
溉,2,17182
牛,6,51546
桃,6,51546
胃,10,85911
辛,18,154639
心,8,68729
苦,18,154639
麻,6,51546
入,12,103093
府,4,34364
穀,24,206186
赤,4,34364
飯,4,34364
行,8,68729
李,6,51546
伯,6,51546
藿,6,51546
海,4,34364
禁,12,103093
別,4,34364
搏,2,17182
藏,8,68729
韭,6,51546
積,2,17182
杏,6,51546
棗,6,51546
黑,4,34364
喜,2,17182
衛,6,51546
酸,18,154639
病,20,171821
畜,2,17182
薤,6,51546
：,24,206186
奈,4,34364
日,4,34364
液,2,17182
常,2,17182
黃,18,154639
道,2,17182
化,2,17182
豬,6,51546
天,2,17182
葵,6,51546
雞,6,51546
糠,6,51546
營,6,51546
一,4,34364
大,12,103093
少,2,17182
糟,2,17182
聞,4,34364
帝,6,51546
願,2,17182
吸,2,17182
宜,34,292096
循,2,17182
請,2,17182
色,24,206186
食,20,171821
黍,6,51546
命,2,17182
脾,8,68729
麥,6,51546
氣,16,137457
卷,2,17182
青,4,34364
衰,2,17182
焦,2,17182
肝,8,68729
咽,2,17182
甘,18,154639
味,16,137457
稟,2,17182
通,2,17182
喉,2,17182
