Character, Abs. Freq., Rel. Freq.
寫,8,96852
刺,22,266344
己,2,24213
逆,18,217918
丁,2,24213
癸,2,24213
蒙,2,24213
命,2,24213
鍼,2,24213
廉,2,24213
新,2,24213
大,10,121065
重,2,24213
：,32,387409
實,2,24213
䐃,2,24213
誼,2,24213
振,2,24213
日,10,121065
偏,2,24213
補,2,24213
宜,2,24213
絕,2,24213
淫,2,24213
發,2,24213
搏,2,24213
白,2,24213
；,16,193705
辛,2,24213
黃,16,193705
相,2,24213
著,2,24213
庚,2,24213
產,2,24213
乘,10,121065
篤,2,24213
肉,4,48426
節,2,24213
病,6,72639
自,10,121065
血,8,96852
洪,2,24213
泄,4,48426
內,2,24213
禁,10,121065
度,2,24213
戊,2,24213
肩,2,24213
明,2,24213
歧,18,217918
爪,2,24213
水,2,24213
痺,2,24213
靜,2,24213
耳,2,24213
寒,2,24213
埃,2,24213
知,2,24213
脈,12,145278
膝,2,24213
余,10,121065
聞,12,145278
一,4,48426
汗,4,48426
盛,2,24213
帝,16,193705
腹,2,24213
及,2,24213
論,2,24213
堅,2,24213
色,2,24213
乙,2,24213
躁,2,24213
脛,2,24213
時,2,24213
身,4,48426
季,2,24213
關,2,24213
移,2,24213
夭,2,24213
形,6,72639
奪,24,290557
無,16,193705
甲,2,24213
願,2,24213
？,6,72639
伯,18,217918
泉,2,24213
丙,2,24213
熱,8,96852
破,2,24213
股,2,24213
問,2,24213
壬,2,24213
衄,4,48426
喉,2,24213
