Character, Abs. Freq., Rel. Freq.
卒,4,17544
索,2,8772
因,6,26316
員,6,26316
立,4,17544
避,2,8772
嘗,2,8772
救,12,52632
定,6,26316
病,6,26316
堅,2,8772
腠,2,8772
地,2,8772
內,4,17544
相,8,35088
重,2,8772
期,2,8772
轉,2,8772
傷,4,17544
歧,14,61404
勿,2,8772
減,2,8772
對,2,8772
液,2,8772
血,20,87719
牙,2,8772
陰,6,26316
郭,8,35088
意,2,8772
衛,12,52632
知,22,96491
為,2,8772
慧,4,17544
戶,2,8772
別,2,8772
妙,2,8772
絡,4,17544
𨱰,2,8772
獨,10,43860
守,2,8772
滿,8,35088
參,2,8772
正,14,61404
待,2,8772
視,4,17544
生,6,26316
居,2,8772
；,14,61404
呼,2,8772
止,2,8772
精,2,8772
應,2,8772
犯,2,8772
心,2,8772
理,2,8772
排,2,8772
觀,6,26316
虛,30,131579
通,4,17544
兩,2,8772
肌,4,17544
疑,2,8772
忌,2,8772
時,18,78947
往,4,17544
留,4,17544
情,6,26316
門,2,8772
氣,44,192982
傳,2,8772
神,20,87719
天,20,87719
制,2,8772
耳,2,8772
身,8,35088
服,2,8772
部,8,35088
驗,4,17544
無,16,70175
常,2,8772
溫,10,43860
經,8,35088
味,2,8772
雲,2,8772
泣,2,8772
命,2,8772
肉,4,17544
善,2,8772
刺,8,35088
榮,6,26316
吹,2,8772
八,12,52632
淖,2,8772
浮,6,26316
辰,8,35088
位,2,8772
衰,2,8772
按,2,8772
逢,4,17544
窮,2,8772
息,2,8772
余,4,17544
淫,2,8772
世,2,8772
古,4,17544
感,2,8772
非,4,17544
中,4,17544
真,2,8772
俱,4,17544
問,4,17544
易,4,17544
合,6,26316
人,10,43860
春,2,8772
髣,2,8772
形,34,149123
：,26,114035
診,2,8772
悟,2,8772
孰,2,8772
月,28,122807
存,2,8772
盡,2,8772
成,4,17544
微,2,8772
移,4,17544
口,2,8772
肥,2,8772
帝,14,61404
星,8,35088
分,2,8772
復,6,26316
異,2,8772
凝,2,8772
序,2,8772
空,6,26316
論,4,17544
實,6,26316
目,4,17544
來,2,8772
外,8,35088
原,2,8772
入,2,8772
謹,2,8772
揚,2,8772
今,4,17544
風,6,26316
藏,4,17544
上,4,17544
吸,6,26316
補,8,35088
萌,2,8772
陽,4,17544
數,2,8772
治,6,26316
冬,2,8772
起,2,8772
溢,2,8772
失,2,8772
請,4,17544
方,22,96491
脈,2,8772
瘦,2,8772
養,4,17544
調,12,52632
汗,2,8772
邪,16,70175
冥,20,87719
引,2,8772
日,16,70175
秋,2,8772
寒,8,35088
開,4,17544
昏,2,8772
用,10,43860
伯,14,61404
盛,10,43860
見,14,61404
敗,6,26316
夏,2,8772
願,6,26316
明,6,26316
前,2,8772
寫,12,52632
沈,8,35088
志,2,8772
候,22,96491
亂,4,17544
徐,2,8772
適,2,8772
處,2,8772
黃,2,8772
聞,12,52632
骨,2,8772
伍,2,8772
鍼,16,70175
工,14,61404
錯,2,8772
言,12,52632
昭,2,8772
法,14,61404
力,2,8772
行,12,52632
光,4,17544
