Character, Abs. Freq., Rel. Freq.
崑,2,13004
蛟,4,26008
大,10,65020
休,2,13004
傴,2,13004
調,2,13004
煩,4,26008
陰,10,65020
谿,2,13004
擊,2,13004
痛,82,533160
聊,2,13004
項,2,13004
悗,2,13004
爪,4,26008
骨,2,13004
股,2,13004
脹,2,13004
發,6,39012
腦,2,13004
冰,2,13004
；,10,65020
腫,4,26008
蟲,4,26008
泣,2,13004
樞,2,13004
指,6,39012
夕,4,26008
令,4,26008
貞,4,26008
眩,4,26008
蛕,4,26008
脊,2,13004
腧,4,26008
鍼,12,78023
刺,16,104031
無,6,39012
嘔,2,13004
徒,2,13004
痺,4,26008
血,8,52016
前,4,26008
合,2,13004
泉,2,13004
谷,4,26008
衝,2,13004
終,2,13004
頭,36,234070
脈,10,65020
為,4,26008
樂,2,13004
腸,4,26008
腰,2,13004
愈,2,13004
半,2,13004
肉,4,26008
明,6,39012
氣,2,13004
真,4,26008
履,2,13004
盡,4,26008
忘,2,13004
按,4,26008
色,4,26008
重,2,13004
京,2,13004
舉,2,13004
喜,4,26008
左,6,39012
日,6,39012
中,16,104031
少,12,78023
瘕,2,13004
滿,2,13004
反,2,13004
甲,4,26008
節,4,26008
聾,4,26008
員,2,13004
堅,2,13004
悲,4,26008
膿,2,13004
汗,2,13004
視,2,13004
崙,2,13004
胸,2,13004
及,2,13004
脛,2,13004
際,2,13004
涎,2,13004
小,4,26008
持,4,26008
瘈,2,13004
尤,2,13004
年,2,13004
曲,2,13004
觸,2,13004
熱,4,26008
往,2,13004
動,10,65020
應,2,13004
上,10,65020
寒,4,26008
作,6,39012
陽,14,91027
臥,2,13004
厥,24,156047
淵,2,13004
淫,4,26008
相,2,13004
墮,2,13004
形,2,13004
清,2,13004
遠,2,13004
風,2,13004
側,2,13004
狀,2,13004
內,2,13004
居,2,13004
都,2,13004
柱,2,13004
間,4,26008
從,2,13004
天,2,13004
腹,6,39012
太,14,91027
寫,4,26008
盛,4,26008
止,2,13004
交,2,13004
髀,2,13004
久,4,26008
意,2,13004
魚,2,13004
短,2,13004
移,2,13004
渴,2,13004
起,2,13004
湯,2,13004
聞,4,26008
行,8,52016
傷,2,13004
聚,6,39012
腎,2,13004
肝,2,13004
息,2,13004
心,44,286086
變,2,13004
來,2,13004
手,18,117035
耳,20,130039
利,2,13004
目,2,13004
㤣,2,13004
惡,4,26008
狂,2,13004
礫,4,26008
面,4,26008
死,10,65020
右,6,39012
乾,2,13004
鳴,4,26008
聆,2,13004
控,2,13004
入,2,13004
治,2,13004
湧,2,13004
恐,2,13004
胃,2,13004
憹,4,26008
背,2,13004
時,6,39012
錐,2,13004
病,4,26008
善,6,39012
肺,2,13004
僂,2,13004
蒼,4,26008
甚,12,78023
白,2,13004
益,2,13004
注,2,13004
脾,2,13004
旦,2,13004
