Character, Abs. Freq., Rel. Freq.
明,8,41973
對,2,10493
腫,10,52466
疾,2,10493
屈,2,10493
俱,2,10493
心,10,52466
走,2,10493
僵,2,10493
秋,4,20986
聾,4,20986
腹,16,83945
少,16,83945
使,2,10493
臥,6,31480
衂,4,20986
喘,2,10493
聚,8,41973
嘔,10,52466
經,8,41973
寫,2,10493
驚,4,20986
上,16,83945
液,2,10493
欬,4,20986
宗,2,10493
：,28,146905
和,4,20986
主,18,94439
滲,2,10493
黃,2,10493
失,2,10493
外,2,10493
慓,2,10493
合,2,10493
邪,4,20986
胃,8,41973
內,6,31480
利,8,41973
日,8,41973
悍,2,10493
手,14,73452
中,6,31480
見,2,10493
飽,2,10493
陰,42,220357
引,4,20986
入,8,41973
集,4,20986
俛,2,10493
薄,2,10493
口,2,10493
竭,4,20986
腎,2,10493
半,2,10493
夏,2,10493
䯒,8,41973
行,6,31480
遠,2,10493
嗌,2,10493
狀,2,10493
虛,18,94439
痺,2,10493
眴,2,10493
起,6,31480
死,6,31480
治,18,94439
勝,6,31480
津,2,10493
赤,6,31480
奪,2,10493
滿,18,94439
裏,2,10493
脾,4,20986
身,6,31480
癲,2,10493
好,2,10493
春,2,10493
頭,2,10493
散,2,10493
膝,10,52466
損,2,10493
帝,14,73452
欲,4,20986
泄,2,10493
氣,68,356768
面,2,10493
酒,6,31480
冬,4,20986
用,2,10493
涇,2,10493
陽,46,241343
知,6,31480
泣,2,10493
徧,2,10493
絡,4,20986
聞,2,10493
從,10,52466
首,2,10493
厥,54,283316
腸,2,10493
清,2,10493
獨,4,20986
因,4,20986
腰,6,31480
穀,2,10493
壯,2,10493
攣,4,20986
乾,2,10493
善,8,41973
妄,4,20986
仰,2,10493
願,2,10493
指,8,41973
關,4,20986
譫,2,10493
急,2,10493
食,4,20986
精,6,31480
醉,2,10493
溺,4,20986
歧,14,73452
太,12,62959
痛,12,62959
支,2,10493
沫,2,10493
血,4,20986
復,2,10493
溲,2,10493
衰,10,52466
脈,8,41973
巨,2,10493
寒,18,94439
筋,2,10493
顧,4,20986
質,2,10493
溢,2,10493
脇,2,10493
喉,4,20986
痓,2,10493
運,2,10493
暴,4,20986
變,2,10493
病,16,83945
重,4,20986
相,2,10493
伯,14,73452
縮,2,10493
房,2,10493
營,4,20986
問,2,10493
補,2,10493
頰,2,10493
多,2,10493
耳,2,10493
人,16,83945
仆,4,20986
令,4,20986
言,4,20986
一,2,10493
盛,14,73452
逆,26,136411
呼,2,10493
發,6,31480
前,6,31480
爭,2,10493
數,2,10493
熱,30,157398
癰,2,10493
脹,6,31480
項,4,20986
表,2,10493
閉,2,10493
機,4,20986
亂,4,20986
為,16,83945
；,28,146905
