Character, Abs. Freq., Rel. Freq.
腠,2,17182
張,2,17182
隧,2,17182
問,2,17182
悲,2,17182
石,2,17182
同,2,17182
固,4,34364
津,2,17182
母,2,17182
風,2,17182
壽,10,85911
數,2,17182
生,8,68729
貨,2,17182
歲,24,206186
藏,16,137457
明,2,17182
誤,2,17182
滿,4,34364
惰,2,17182
葉,2,17182
八,2,17182
舍,2,17182
百,6,51546
落,2,17182
液,2,17182
各,4,34364
父,2,17182
肉,10,85911
目,2,17182
常,4,34364
走,2,17182
肝,4,34364
腎,2,17182
汁,2,17182
大,4,34364
少,2,17182
疏,2,17182
肌,6,51546
立,2,17182
解,2,17182
高,4,34364
營,6,51546
七,2,17182
相,4,34364
聞,6,51546
脾,2,17182
基,8,68729
魄,4,34364
亂,2,17182
築,2,17182
伯,14,120275
府,4,34364
憂,2,17182
畢,2,17182
白,2,17182
揚,2,17182
魂,2,17182
外,2,17182
度,2,17182
徐,2,17182
形,2,17182
衛,6,51546
步,2,17182
牆,4,34364
邪,2,17182
引,2,17182
死,12,103093
骨,2,17182
薄,4,34364
寒,2,17182
神,10,85911
方,4,34364
獨,2,17182
行,4,34364
為,12,103093
黃,12,103093
卑,2,17182
息,2,17182
頗,2,17182
布,2,17182
人,10,85911
具,2,17182
膚,4,34364
穀,2,17182
利,2,17182
脈,12,103093
衰,8,68729
？,10,85911
空,4,34364
卒,2,17182
微,2,17182
坐,2,17182
頹,2,17182
斑,2,17182
終,6,51546
言,2,17182
盡,2,17182
；,22,189003
道,6,51546
真,2,17182
臥,2,17182
密,2,17182
焦,2,17182
虛,8,68729
好,10,85911
趨,2,17182
氣,32,274914
部,2,17182
起,2,17182
骸,2,17182
夭,4,34364
盛,10,85911
髮,2,17182
願,4,34364
攻,2,17182
久,4,34364
枯,2,17182
中,4,34364
肺,2,17182
化,2,17182
滎,2,17182
膽,2,17182
長,8,68729
吸,2,17182
離,2,17182
使,4,34364
成,4,34364
歧,14,120275
平,4,34364
經,4,34364
通,8,68729
里,2,17182
帝,12,103093
懈,2,17182
皮,4,34364
暴,2,17182
楯,4,34364
喘,2,17182
心,4,34364
堅,6,51546
減,2,17182
致,4,34364
調,4,34364
血,16,137457
失,6,51546
病,2,17182
定,6,51546
搖,2,17182
：,24,206186
居,2,17182
理,2,17182
和,4,34364
善,2,17182
疾,2,17182
呼,2,17182
