Character, Abs. Freq., Rel. Freq.
問,2,16863
行,22,185497
肉,4,33727
萬,2,16863
節,2,16863
骨,4,33727
相,2,16863
地,6,50590
腸,2,16863
裏,2,16863
歧,10,84317
循,2,16863
逆,2,16863
太,6,50590
脾,18,151771
狀,2,16863
虛,6,50590
熱,2,16863
賊,2,16863
津,6,50590
：,22,185497
生,8,67454
端,2,16863
實,4,33727
䐜,2,16863
海,2,16863
傷,4,33727
日,6,50590
伯,10,84317
食,2,16863
水,4,33727
主,14,118044
利,4,33727
液,6,50590
濕,4,33727
著,2,16863
絡,2,16863
無,4,33727
塞,2,16863
病,12,101180
喘,2,16863
對,2,16863
帝,10,84317
今,2,16863
穀,4,33727
筋,4,33727
為,18,151771
臥,2,16863
道,8,67454
氣,34,286678
指,2,16863
稟,8,67454
胃,14,118044
嗌,2,16863
飱,2,16863
明,6,50590
經,4,33727
黃,2,16863
天,6,50590
泄,2,16863
時,12,101180
長,2,16863
各,4,33727
犯,2,16863
土,6,50590
；,10,84317
陰,28,236088
喉,2,16863
用,6,50590
飲,2,16863
聞,2,16863
府,8,67454
身,2,16863
上,14,118044
呼,2,16863
異,8,67454
膜,2,16863
從,12,101180
法,2,16863
貫,2,16863
頭,6,50590
邪,2,16863
咽,2,16863
寄,2,16863
耳,2,16863
表,4,33727
肌,4,33727
陽,24,202361
八,2,16863
中,2,16863
藏,12,101180
久,2,16863
臂,2,16863
連,2,16863
風,6,50590
居,2,16863
央,2,16863
起,2,16863
支,8,67454
脈,6,50590
位,2,16863
澼,2,16863
精,2,16863
常,4,33727
滿,2,16863
同,2,16863
內,4,33727
極,4,33727
入,8,67454
治,4,33727
受,18,151771
外,4,33727
益,2,16863
願,2,16863
物,2,16863
名,2,16863
獨,2,16863
因,4,33727
手,2,16863
屬,2,16863
更,8,67454
閉,2,16863
衰,4,33727
