Character, Abs. Freq., Rel. Freq.
日,2,11933
交,4,23866
明,8,47733
醜,2,11933
要,2,11933
人,20,119332
循,2,11933
火,2,11933
到,2,11933
食,2,11933
切,2,11933
復,2,11933
極,2,11933
使,6,35800
救,2,11933
痛,2,11933
失,10,59666
恒,2,11933
絕,6,35800
藏,4,23866
夢,22,131265
寒,4,23866
氣,46,274463
久,4,23866
築,2,11933
靜,2,11933
道,10,59666
溺,2,11933
兵,2,11933
小,2,11933
隔,2,11933
弱,2,11933
少,12,71599
灼,2,11933
屬,2,11933
清,2,11933
雄,2,11933
轉,2,11933
歸,6,35800
論,4,23866
斬,2,11933
垣,2,11933
妄,6,35800
生,10,59666
言,2,11933
為,16,95465
入,2,11933
逆,8,47733
俞,2,11933
蓋,2,11933
審,2,11933
陰,32,190931
脈,16,95465
肝,2,11933
起,8,47733
戰,2,11933
具,6,35800
情,4,23866
意,4,23866
高,2,11933
腎,2,11933
耶,2,11933
方,2,11933
善,2,11933
老,4,23866
並,4,23866
反,4,23866
傳,2,11933
紀,2,11933
息,2,11933
事,8,47733
右,6,35800
秋,8,47733
變,2,11933
術,2,11933
室,2,11933
問,4,23866
追,2,11933
畏,2,11933
首,2,11933
藉,4,23866
空,2,11933
多,4,23866
萬,2,11933
屋,2,11933
一,2,11933
上,14,83532
邪,2,11933
舟,2,11933
行,10,59666
實,2,11933
君,2,11933
附,2,11933
疾,2,11933
度,20,119332
見,10,59666
淨,2,11933
經,4,23866
居,2,11933
地,2,11933
香,2,11933
民,2,11933
亡,4,23866
荅,4,23866
止,2,11933
筋,2,11933
肉,2,11933
合,8,47733
司,2,11933
盛,2,11933
卒,2,11933
天,2,11933
從,14,83532
燔,2,11933
守,2,11933
用,2,11933
卿,2,11933
并,2,11933
心,2,11933
虛,18,107399
期,2,11933
尺,2,11933
請,2,11933
冬,8,47733
視,6,35800
按,2,11933
八,2,11933
曠,2,11933
求,4,23866
消,2,11933
草,2,11933
夏,2,11933
常,6,35800
長,2,11933
盡,2,11933
血,2,11933
膝,2,11933
樹,2,11933
滑,2,11933
棄,2,11933
陽,36,214797
無,6,35800
春,2,11933
調,2,11933
定,2,11933
脾,2,11933
受,2,11933
世,4,23866
黃,2,11933
全,2,11933
理,4,23866
滿,2,11933
章,4,23866
巔,2,11933
左,6,35800
頗,2,11933
聖,2,11933
水,2,11933
菌,2,11933
敢,2,11933
頭,2,11933
神,2,11933
自,4,23866
殆,2,11933
坐,4,23866
觀,4,23866
勢,2,11933
部,4,23866
雷,2,11933
迷,2,11933
知,46,274463
物,4,23866
徵,2,11933
形,6,35800
雌,2,11933
餘,10,59666
肺,2,11933
正,2,11933
奇,2,11933
時,10,59666
濇,2,11933
緜,4,23866
別,2,11933
師,2,11933
令,2,11933
學,2,11933
公,2,11933
動,4,23866
溫,2,11933
診,26,155131
帝,2,11933
：,6,35800
脫,2,11933
格,2,11933
條,2,11933
察,4,23866
湛,2,11933
微,4,23866
伏,6,35800
野,2,11933
死,8,47733
甚,2,11933
船,2,11933
因,2,11933
散,2,11933
大,4,23866
白,2,11933
治,2,11933
名,2,11933
飲,2,11933
中,8,47733
持,6,35800
厥,8,47733
恐,2,11933
病,10,59666
