Character, Abs. Freq., Rel. Freq.
破,2,10363
小,4,20725
仁,2,10363
犢,2,10363
壅,2,10363
息,2,10363
通,4,20725
邪,6,31088
衛,14,72539
縮,2,10363
一,18,93264
頂,2,10363
敢,4,20725
余,12,62176
臥,2,10363
志,2,10363
關,8,41451
目,6,31088
首,2,10363
命,2,10363
背,6,31088
節,2,10363
處,8,41451
膿,2,10363
血,4,20725
發,6,31088
道,4,20725
水,4,20725
令,2,10363
善,2,10363
經,2,10363
脾,2,10363
𦛗,2,10363
浮,2,10363
問,8,41451
怠,2,10363
辟,2,10363
相,4,20725
鍼,6,31088
良,2,10363
窘,2,10363
氣,20,103627
當,2,10363
膺,2,10363
別,2,10363
注,4,20725
會,16,82902
元,4,20725
肩,8,41451
病,2,10363
稽,4,20725
人,6,31088
留,8,41451
卻,2,10363
牖,2,10363
敗,4,20725
為,16,82902
復,4,20725
肋,2,10363
左,4,20725
痛,8,41451
解,10,51813
突,8,41451
委,2,10363
歧,12,62176
兩,8,41451
真,4,20725
及,4,20725
來,2,10363
七,4,20725
循,2,10363
非,6,31088
瘖,2,10363
百,10,51813
大,14,72539
孫,6,31088
眉,2,10363
獨,2,10363
加,2,10363
奇,2,10363
巡,2,10363
蘭,2,10363
拜,6,31088
對,2,10363
熱,10,51813
多,2,10363
惑,4,20725
脘,2,10363
貞,2,10363
易,6,31088
踝,2,10363
肘,2,10363
髓,2,10363
逡,2,10363
紀,6,31088
語,4,20725
偏,2,10363
脈,18,93264
前,2,10363
匱,4,20725
伸,2,10363
積,2,10363
肉,12,62176
溢,12,62176
蒙,4,20725
遊,2,10363
絡,14,72539
谷,12,62176
意,6,31088
數,6,31088
諸,2,10363
寒,6,31088
穴,92,476684
應,8,41451
天,16,82902
傳,2,10363
：,24,124352
滿,2,10363
閒,2,10363
俞,20,103627
孰,2,10363
言,8,41451
中,12,62176
室,2,10363
治,2,10363
署,2,10363
柱,2,10363
願,8,41451
斜,4,20725
藏,8,41451
蹻,2,10363
窮,2,10363
微,2,10363
央,2,10363
榮,14,72539
世,2,10363
疾,2,10363
再,6,31088
虛,2,10363
貫,2,10363
本,2,10363
知,4,20725
椎,6,31088
因,2,10363
鬲,2,10363
膕,2,10363
卷,2,10363
支,2,10363
交,2,10363
耳,6,31088
完,2,10363
淫,2,10363
請,6,31088
厭,4,20725
禁,2,10363
竭,2,10363
湊,2,10363
控,2,10363
枕,2,10363
骨,8,41451
行,10,51813
各,4,20725
傍,4,20725
見,4,20725
寫,8,41451
馬,2,10363
盛,2,10363
伯,12,62176
黃,2,10363
筋,2,10363
上,18,93264
手,2,10363
內,8,41451
開,4,20725
鼻,2,10363
舍,2,10363
曲,2,10363
濇,2,10363
谿,12,62176
陰,4,20725
盡,4,20725
明,2,10363
往,2,10363
心,4,20725
府,6,31088
聞,14,72539
繫,2,10363
無,4,20725
胃,2,10363
居,4,20725
寸,2,10363
齊,2,10363
金,6,31088
巨,2,10363
脇,4,20725
尻,2,10363
散,2,10363
銷,2,10363
胸,8,41451
著,2,10363
外,6,31088
臣,2,10363
頭,2,10363
御,2,10363
聖,6,31088
並,2,10363
痺,4,20725
骸,2,10363
瞳,2,10363
將,4,20725
䆫,2,10363
起,6,31088
日,2,10363
右,4,20725
今,4,20725
聰,2,10363
同,2,10363
牙,2,10363
迎,2,10363
捧,2,10363
訪,2,10363
橫,2,10363
少,2,10363
陽,6,31088
卒,2,10363
短,2,10363
帝,14,72539
論,2,10363
白,2,10363
門,2,10363
扶,2,10363
分,8,41451
廉,2,10363
歲,6,31088
法,2,10363
