Character, Abs. Freq., Rel. Freq.
省,2,15175
恐,8,60698
獨,10,75873
上,6,45524
發,2,15175
跌,2,15175
肺,10,75873
筋,2,15175
人,6,45524
淫,12,91047
伏,2,15175
靜,4,30349
為,14,106222
病,8,60698
變,4,30349
朝,2,15175
春,2,15175
餘,2,15175
俱,2,15175
墮,2,15175
對,2,15175
輸,6,45524
太,8,60698
脾,8,60698
夏,2,15175
和,2,15175
死,2,15175
勞,4,30349
夜,2,15175
嘯,2,15175
知,2,15175
百,2,15175
歧,8,60698
藥,2,15175
濁,2,15175
卒,2,15175
揆,2,15175
帝,8,60698
蹻,2,15175
口,2,15175
仆,2,15175
重,4,30349
法,2,15175
處,2,15175
時,6,45524
薄,2,15175
留,4,30349
傷,2,15175
腎,10,75873
搏,6,45524
恚,2,15175
散,4,30349
布,2,15175
表,2,15175
一,10,75873
并,4,30349
經,8,60698
遠,2,15175
寸,2,15175
懼,2,15175
用,4,30349
流,2,15175
居,2,15175
秋,2,15175
走,2,15175
冬,2,15175
真,4,30349
裏,2,15175
平,4,30349
逆,2,15175
飽,2,15175
度,4,30349
補,6,45524
滑,2,15175
甚,2,15175
㾓,2,15175
汗,12,91047
藏,18,136571
神,2,15175
害,2,15175
行,10,75873
肉,2,15175
象,12,91047
臟,4,30349
虛,4,30349
膚,2,15175
起,2,15175
鼓,2,15175
大,4,30349
體,2,15175
心,10,75873
胃,10,75873
前,2,15175
實,2,15175
診,4,30349
並,2,15175
當,6,45524
俞,10,75873
宜,4,30349
權,2,15175
生,4,30349
動,4,30349
觀,2,15175
問,2,15175
黃,2,15175
持,2,15175
爭,2,15175
張,2,15175
驚,6,45524
皮,4,30349
少,10,75873
合,4,30349
道,4,30349
常,4,30349
搖,2,15175
勇,6,45524
歸,10,75873
：,18,136571
飲,4,30349
喘,10,75873
氣,44,333839
情,2,15175
厥,10,75873
腑,4,30349
調,4,30349
疾,2,15175
決,2,15175
精,18,136571
治,8,60698
奪,2,15175
絡,2,15175
肝,6,45524
椎,2,15175
通,2,15175
骨,4,30349
怯,6,45524
陰,24,182094
脈,14,106222
衡,4,30349
水,6,45524
胱,2,15175
毛,4,30349
浮,6,45524
膀,2,15175
食,6,45524
遊,2,15175
伯,8,60698
苦,2,15175
著,2,15175
白,2,15175
沈,2,15175
成,2,15175
明,6,45524
言,2,15175
入,6,45524
寫,8,60698
陽,42,318665
溢,2,15175
