Character, Abs. Freq., Rel. Freq.
盡,2,13193
傷,2,13193
肺,2,13193
怯,18,118734
肝,10,65963
熟,2,13193
滿,8,52770
聞,10,65963
重,2,13193
痛,24,158311
悍,2,13193
問,4,26385
秋,4,26385
前,2,13193
悖,2,13193
願,8,52770
脹,2,13193
赤,2,13193
精,2,13193
變,2,13193
復,2,13193
陰,2,13193
心,2,13193
怒,8,52770
青,4,26385
膽,8,52770
惊,2,13193
等,2,13193
脆,2,13193
起,2,13193
盛,2,13193
使,2,13193
止,2,13193
舉,4,26385
暴,2,13193
化,2,13193
裂,2,13193
黃,20,131926
衰,4,26385
弱,8,52770
寒,4,26385
？,10,65963
死,2,13193
藏,2,13193
厚,10,65963
面,4,26385
帝,20,131926
小,2,13193
乍,4,26385
烈,2,13193
勇,20,131926
膚,2,13193
立,2,13193
避,4,26385
夏,8,52770
系,2,13193
久,2,13193
皮,18,118734
見,10,65963
黑,4,26385
急,4,26385
理,4,26385
傍,2,13193
橫,6,39578
大,6,39578
𩩲,4,26385
一,2,13193
減,2,13193
類,2,13193
恐,6,39578
入,2,13193
：,34,224274
感,2,13193
白,2,13193
脅,2,13193
悔,2,13193
肉,18,118734
行,2,13193
深,2,13193
名,2,13193
忍,16,105541
上,2,13193
色,16,105541
端,2,13193
風,28,184697
當,2,13193
言,2,13193
直,4,26385
遇,6,39578
眥,2,13193
；,12,79156
水,2,13193
善,2,13193
年,2,13193
揚,4,26385
顏,2,13193
相,2,13193
縱,4,26385
液,2,13193
同,4,26385
涼,2,13193
空,2,13193
內,2,13193
肌,6,39578
生,2,13193
時,8,52770
余,2,13193
焦,4,26385
腸,2,13193
薄,14,92348
外,2,13193
冬,4,26385
陽,4,26385
知,4,26385
失,4,26385
勝,8,52770
盻,2,13193
胃,6,39578
俞,18,118734
堅,12,79156
動,4,26385
并,4,26385
春,4,26385
形,2,13193
逆,2,13193
中,4,26385
目,8,52770
沖,2,13193
轉,2,13193
張,2,13193
士,26,171504
緩,4,26385
長,8,52770
分,4,26385
酒,6,39578
浮,2,13193
短,2,13193
慓,2,13193
胸,6,39578
人,6,39578
難,8,52770
固,6,39578
雨,2,13193
卒,2,13193
方,2,13193
挺,2,13193
氣,14,92348
谷,4,26385
蒼,2,13193
少,20,131926
毛,2,13193
各,2,13193
非,4,26385
均,2,13193
病,20,131926
衣,2,13193
虛,12,79156
比,2,13193
