Character, Abs. Freq., Rel. Freq.
？,6,107143
問,2,35714
襲,2,35714
事,2,35714
奈,4,71429
擊,2,35714
病,10,178571
餘,2,35714
方,4,71429
天,2,35714
生,2,35714
黃,6,107143
工,6,107143
逆,8,142857
氣,8,142857
實,2,35714
候,6,107143
熇,4,71429
帝,6,107143
虛,2,35714
血,2,35714
無,12,214286
陰,2,35714
逢,4,71429
余,2,35714
脈,10,178571
堂,4,71429
順,4,71429
渾,4,71429
地,2,35714
聞,4,71429
：,18,321429
約,4,71429
行,2,35714
刺,32,571429
伯,8,142857
時,2,35714
傷,2,35714
熱,2,35714
漉,4,71429
汗,2,35714
知,2,35714
盛,10,178571
形,2,35714
明,2,35714
治,4,71429
毀,2,35714
迎,2,35714
昌,2,35714
大,6,107143
衰,8,142857
上,4,71429
；,12,214286
敢,2,35714
陽,2,35714
勿,2,35714
兵,2,35714
高,8,142857
相,4,71429
應,2,35714
法,4,71429
陣,2,35714
