Character, Abs. Freq., Rel. Freq.
俞,10,47081
溫,2,9416
股,2,9416
鎮,2,9416
鹹,2,9416
察,2,9416
黃,6,28249
土,4,18832
數,10,47081
畜,10,47081
真,2,9416
木,2,9416
青,2,9416
肺,10,47081
陽,56,263653
入,10,47081
頭,4,18832
身,6,28249
黑,2,9416
焦,4,18832
上,10,47081
善,12,56497
馬,2,9416
對,2,9416
雌,4,18832
黍,2,9416
應,18,84746
厥,4,18832
稷,2,9416
羽,2,9416
謹,2,9416
中,40,188324
背,12,56497
星,10,47081
徵,2,9416
北,4,18832
辰,2,9416
筋,2,9416
；,24,112994
：,10,47081
肉,2,9416
非,4,18832
授,2,9416
天,12,56497
法,2,9416
風,22,103578
蹻,2,9416
洞,4,18832
冬,16,75330
輸,2,9416
味,10,47081
石,2,9416
脇,6,28249
目,2,9416
經,4,18832
教,2,9416
辛,2,9416
觸,2,9416
人,12,56497
春,20,94162
小,2,9416
金,2,9416
按,2,9416
為,46,216573
相,2,9416
裏,4,18832
氣,12,56497
勝,14,65913
宮,2,9416
夜,2,9416
肝,10,47081
視,2,9416
內,4,18832
麥,2,9416
日,4,18832
火,2,9416
雞,6,28249
道,2,9416
胃,2,9416
央,4,18832
各,2,9416
鳴,4,18832
竅,10,47081
邪,4,18832
脾,10,47081
問,2,9416
意,2,9416
赤,2,9416
仲,4,18832
開,10,47081
腸,4,18832
雄,4,18832
商,2,9416
陰,64,301318
衄,4,18832
毛,2,9416
骨,2,9416
汗,4,18832
本,4,18832
皮,2,9416
七,2,9416
逆,2,9416
痺,4,18832
音,10,47081
施,2,9416
昏,2,9416
胱,2,9416
南,4,18832
白,4,18832
表,4,18832
寒,4,18832
太,2,9416
支,2,9416
收,2,9416
心,14,65913
紀,2,9416
膀,2,9416
旦,4,18832
舌,2,9416
角,2,9416
熒,2,9416
苦,2,9416
帝,4,18832
泄,6,28249
欲,2,9416
伯,4,18832
肩,4,18832
發,6,28249
西,4,18832
稻,2,9416
水,2,9416
夏,24,112994
耳,2,9416
府,8,37665
外,4,18832
口,2,9416
受,2,9416
生,8,37665
豆,2,9416
一,4,18832
從,2,9416
驚,2,9416
牛,2,9416
瘧,6,28249
駭,2,9416
大,2,9416
膽,2,9416
香,2,9416
腥,2,9416
羊,2,9416
言,6,28249
脈,6,28249
歧,4,18832
酸,2,9416
鍼,2,9416
草,2,9416
通,10,47081
精,16,75330
平,6,28249
彘,2,9416
腰,2,9416
甘,2,9416
谿,2,9416
腐,2,9416
歲,2,9416
八,6,28249
臊,2,9416
腹,8,37665
穀,10,47081
脊,2,9416
項,4,18832
病,70,329567
胸,6,28249
東,4,18832
頸,4,18832
長,8,37665
秋,16,75330
臭,10,47081
暑,2,9416
方,8,37665
勿,4,18832
惑,2,9416
知,12,56497
鼽,4,18832
腎,10,47081
合,4,18832
類,10,47081
色,10,47081
鼻,2,9416
藏,30,141243
飱,2,9416
成,2,9416
時,16,75330
