Character, Abs. Freq., Rel. Freq.
百,4,36166
絕,4,36166
勿,4,36166
伯,6,54250
隱,2,18083
積,2,18083
根,12,108499
厥,8,72333
歧,6,54250
搏,4,36166
；,2,18083
合,6,54250
夏,2,18083
方,2,18083
余,2,18083
周,2,18083
處,2,18083
月,4,36166
應,4,36166
勝,2,18083
陰,92,831826
生,4,36166
正,2,18083
白,2,18083
泉,2,18083
變,2,18083
經,4,36166
前,6,54250
門,2,18083
聖,2,18083
因,8,72333
載,2,18083
開,4,36166
失,6,54250
內,2,18083
明,12,108499
今,2,18083
南,2,18083
立,2,18083
願,4,36166
離,6,54250
身,2,18083
傳,2,18083
歲,2,18083
表,4,36166
相,6,54250
大,6,54250
冬,2,18083
千,2,18083
人,6,54250
主,2,18083
成,4,36166
沈,2,18083
衝,6,54250
涌,2,18083
秋,2,18083
：,12,108499
覆,2,18083
一,10,90416
對,2,18083
物,2,18083
𩅞,4,36166
地,12,108499
敦,2,18083
帝,6,54250
兌,2,18083
藏,2,18083
結,2,18083
厲,2,18083
萬,6,54250
為,32,289331
要,2,18083
日,4,36166
春,2,18083
中,18,162749
闔,4,36166
聞,6,54250
廣,6,54250
上,4,36166
形,2,18083
予,2,18083
常,2,18083
命,8,72333
樞,4,36166
推,4,36166
外,2,18083
天,6,54250
浮,2,18083
長,2,18083
黃,2,18083
竅,2,18083
收,2,18083
問,2,18083
面,2,18083
塞,2,18083
裏,2,18083
起,12,108499
氣,2,18083
太,22,198915
數,10,90416
小,2,18083
名,34,307414
少,22,198915
陽,52,470163
